hunt_code,open_date,close_date,bag_limit_description,notes
2001,2026-09-04,2026-09-13,,
2002,2026-09-04,2026-09-13,,
2003,2026-09-04,2026-09-13,,
2004,2026-10-02,2026-10-11,,
2005,2026-09-04,2026-09-13,,
2006,2026-09-04,2026-09-13,,
2007,2026-09-04,2026-09-13,,
2008,2026-09-04,2026-09-13,,
2009,2026-09-04,2026-09-13,,
2010,2026-09-04,2026-09-13,,
2011,2026-09-04,2026-09-13,,
2012,2026-09-04,2026-09-13,,
2013,2026-10-02,2026-10-11,,
2014,2026-10-02,2026-10-11,,
2015,2026-10-02,2026-10-11,,
2016,2026-09-04,2026-09-13,,
2017,2026-09-04,2026-09-13,,
2018,2026-09-04,2026-09-13,,
2019,2026-09-04,2026-09-13,,
2020,2026-09-04,2026-09-13,,
2021,2026-09-11,2026-09-17,,
2022,2026-09-11,2026-09-17,,
2023,2026-09-04,2026-09-10,,
2024,2026-09-11,2026-09-17,,
2025,2026-09-04,2026-09-13,,
2026,2026-09-04,2026-09-13,,
2027,2026-09-04,2026-09-13,,
2028,2026-09-04,2026-09-13,,
2029,2026-09-04,2026-09-13,,
2030,2026-09-04,2026-09-13,,
2031,2026-09-04,2026-09-13,,
2032,2026-09-04,2026-09-13,,
2033,2026-09-04,2026-09-10,,
2034,2026-09-04,2026-09-10,,
2035,2026-09-04,2026-09-10,,
2036,2026-08-28,2026-09-03,,
2037,2026-09-04,2026-09-13,,
2038,2026-08-21,2026-09-03,,
2039,2026-08-21,2026-09-03,,
2040,2026-08-21,2026-09-03,,
2041,2026-08-21,2026-09-03,,
2042,2026-08-21,2026-09-03,,
2043,2026-08-21,2026-09-03,,
2044,2026-08-21,2026-09-03,,
2045,2026-08-21,2026-09-03,,
2046,2026-08-21,2026-09-03,,
2047,2026-08-21,2026-09-03,,
2048,2026-08-21,2026-09-03,,
2049,2026-08-21,2026-09-03,,
2050,2026-08-21,2026-09-10,,
2051,2026-08-21,2026-09-03,,
2052,2026-08-21,2026-09-03,,
2053,2026-08-21,2026-09-03,,
2054,2026-08-21,2026-09-03,,
2055,2026-08-21,2026-09-03,,
2056,2026-08-21,2026-08-27,,
2057,2026-08-21,2026-09-03,,
2058,2026-08-21,2026-09-03,,
2059,2026-08-21,2026-09-03,,
2060,2026-08-21,2026-09-03,,
2061,2026-08-21,2026-09-03,,
3001,2026-09-25,2026-10-01,Bull elk,
3002,2026-09-25,2026-10-01,Bull elk,
3003,2026-09-25,2026-10-01,Bull elk,
3004,2026-09-25,2026-10-01,Bull elk,
3005,2026-09-25,2026-10-01,Bull elk,
3006,2026-09-25,2026-10-01,Bull elk,
3007,2026-09-25,2026-10-01,Bull elk,
3008,2026-09-25,2026-10-01,Bull elk,
3009,2026-09-25,2026-10-01,Bull elk,
3010,2026-09-25,2026-10-01,Bull elk,
3011,2026-11-27,2026-12-03,Bull elk,
3012,2026-11-27,2026-12-03,Bull elk,
3013,2026-11-27,2026-12-03,Bull elk,
3014,2026-11-27,2026-12-03,Bull elk,
3015,2026-11-27,2026-12-03,Bull elk,
3016,2026-11-27,2026-12-03,Bull elk,
3017,2026-11-27,2026-12-03,Bull elk,
3018,2026-11-27,2026-12-03,Bull elk,
3019,2026-11-27,2026-12-03,Bull elk,
3020,2026-11-27,2026-12-03,Bull elk,
3021,2026-11-27,2026-12-03,Bull elk,
3022,2026-11-27,2026-12-03,Bull elk,
3023,2026-11-27,2026-12-03,Bull elk,
3024,2026-11-27,2026-12-03,Bull elk,
3025,2026-11-27,2026-12-03,Bull elk,
3026,2026-11-27,2026-12-03,Bull elk,
3027,2026-11-27,2026-12-03,Bull elk,
3028,2026-12-04,2026-12-10,Bull elk,
3029,2026-11-27,2026-12-03,Bull elk,
3030,2026-11-27,2026-12-03,Bull elk,
3031,2026-11-27,2026-12-03,Bull elk,
3032,2026-12-04,2026-12-10,Bull elk,
3033,2026-12-04,2026-12-10,Antlerless elk,
3034,2026-12-04,2026-12-10,Antlerless elk,
3035,2026-12-11,2026-12-31,Antlerless elk,
3036,2026-11-06,2026-11-12,Antlerless elk,
3037,2026-10-16,2026-10-22,Antlerless elk,
3038,2026-11-06,2026-11-12,Antlerless elk,
3039,2026-10-16,2026-10-22,Antlerless elk,
3040,2026-10-09,2026-10-15,Antlerless elk,
3041,2026-10-16,2026-10-22,Antlerless elk,
3042,2026-10-16,2026-10-22,Antlerless elk,
3043,2026-12-04,2026-12-10,Antlerless elk,
3044,2026-10-16,2026-10-22,Antlerless elk,
3045,2026-12-04,2026-12-10,Antlerless elk,
3046,2026-10-16,2026-10-22,Antlerless elk,
3047,2026-10-16,2026-10-22,Antlerless elk,
3048,2026-12-04,2026-12-10,Antlerless elk,
