hunt_code,open_date,close_date,bag_limit_description,notes
D-E-003-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-003-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-003-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-004-P4-R,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List R
D-E-004-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-004-W2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-004-W3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-005-W2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-006-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-007-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-011-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-011-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-011-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-011-P4-R,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List R
D-E-011-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-011-W2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-012-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-012-P4-R,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List R
D-E-015-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-015-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-015-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-018-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-018-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-018-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-020-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-023-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-023-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-025-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-025-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-025-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-025-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-029-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-031-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-033-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-034-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-035-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-035-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-035-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-038-L1-R,2026-12-01,2027-01-31,Deer Either Sex,Late Season; List R
D-E-041-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-043-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-043-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-043-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-044-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-044-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-044-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-049-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-051-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-069-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-077-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-087-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-087-O2-X,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List X
D-E-091-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-092-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-093-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-093-O2-X,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List X
D-E-094-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-096-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-099-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-101-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-101-O2-X,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List X
D-E-103-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-104-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-104-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-104-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-104-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-107-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-107-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-107-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-107-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-109-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-109-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-109-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-109-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-110-O2-A,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List A
D-E-110-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-110-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-110-O4-A,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List A
D-E-112-O2-A,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List A
D-E-112-O4-A,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List A
D-E-116-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-116-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-116-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-116-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-122-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-122-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-122-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-122-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-126-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-128-O2-A,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List A
D-E-128-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-128-O3-M,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List M
D-E-128-O4-A,2026-11-18,2026-11-22,Deer Either Sex,Fourth Rifle; List A
D-E-129-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-131-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-131-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-136-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-136-O3-A,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List A
D-E-137-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-139-O2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-142-O2-A,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List A
D-E-211-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-214-W2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-391-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-441-W1-R,2026-10-14,2026-10-18,Deer Either Sex,First Rifle; List R
D-E-444-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-E-444-P2-R,2026-10-24,2026-11-01,Deer Either Sex,Second Rifle; List R
D-E-444-P3-R,2026-11-07,2026-11-15,Deer Either Sex,Third Rifle; List R
D-E-741-O1-A,2026-09-02,2026-09-30,Deer Either Sex,Archery; List A
D-F-003-O1-M,2026-09-02,2026-09-30,Deer Doe/Cow,Archery; List M
D-F-003-O2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-003-O3-R,2026-11-07,2026-11-15,Deer Doe/Cow,Third Rifle; List R
D-F-003-W1-R,2026-10-14,2026-10-18,Deer Doe/Cow,First Rifle; List R
D-F-004-O2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-004-W1-R,2026-10-14,2026-10-18,Deer Doe/Cow,First Rifle; List R
D-F-004-W2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-004-W3-R,2026-11-07,2026-11-15,Deer Doe/Cow,Third Rifle; List R
D-F-005-W1-R,2026-10-14,2026-10-18,Deer Doe/Cow,First Rifle; List R
D-F-005-W2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-006-E1-R,2026-09-12,2026-09-20,Deer Doe/Cow,Muzzleloader; List R
D-F-007-O1-M,2026-09-02,2026-09-30,Deer Doe/Cow,Archery; List M
D-F-009-L1-R,2026-12-01,2027-01-31,Deer Doe/Cow,Late Season; List R
D-F-009-O2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-009-O3-R,2026-11-07,2026-11-15,Deer Doe/Cow,Third Rifle; List R
D-F-011-O1-M,2026-09-02,2026-09-30,Deer Doe/Cow,Archery; List M
D-F-011-O2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-011-W1-R,2026-10-14,2026-10-18,Deer Doe/Cow,First Rifle; List R
D-F-011-W2-R,2026-10-24,2026-11-01,Deer Doe/Cow,Second Rifle; List R
D-F-012-O1-M,2026-09-02,2026-09-30,Deer Doe/Cow,Archery; List M
