hunt_code,open_date,close_date,bag_limit_description,notes
1001,2026-08-30,2026-12-01,,Page 23
1002,2026-10-10,2026-11-03,,Page 23
1003,2026-11-10,2026-11-24,,Page 23
1004,2026-10-10,2026-11-03,,Page 23
1005,2026-11-10,2026-11-30,,Page 23
1006,2026-10-10,2026-11-03,,Page 23
1007,2026-10-10,2026-10-31,,Page 23
1008,2026-11-01,2026-11-20,,Page 23
1009,2026-10-17,2026-11-09,,Page 23
1010,2026-11-10,2026-11-30,,Page 23
1011,2026-10-10,2026-11-24,,Page 23
1012,2026-11-01,2026-11-18,,Page 23
1013,2026-10-10,2026-11-30,,Page 23
1014,2026-11-01,2026-11-24,,Page 23
1015,2026-10-10,2026-11-24,,Page 23
1016,2026-10-10,2026-11-24,,Page 23
1017,2026-11-01,2026-11-18,,Page 23
1018,2026-11-01,2026-11-18,,Page 23
1019,2026-10-10,2026-11-30,,Page 23
1020,2026-10-10,2026-11-30,,Page 23
1021,2026-10-10,2026-10-31,,Page 23
1022,2026-10-10,2026-11-24,,Page 23
1023,2026-10-10,2026-11-24,,Page 23
1024,2026-10-10,2026-11-24,,Page 23
1025,2026-09-01,2026-11-30,,Page 23
1026,2026-10-10,2026-11-30,,Page 23
1027,2026-10-10,2026-11-30,,Page 23
1028,2026-10-10,2026-11-24,,Page 24
1029,2026-10-10,2026-11-24,,Page 24
1030,2026-08-15,2026-09-30,,Page 24
1031,2026-11-01,2026-11-24,,Page 24
1032,2026-11-01,2026-11-24,,Page 24
1033,2026-11-01,2026-11-24,,Page 24
1034,2026-09-15,2026-10-31,,Page 24
1035,2026-10-15,2026-10-31,,Page 24
1036,2026-10-05,2026-10-31,,Page 24
1037,2026-11-15,2026-11-30,,Page 24
1038,2026-11-10,2026-11-24,,Page 24
1039,2026-11-10,2026-11-24,,Page 24
1040,2026-10-10,2026-11-30,,Page 24
1041,2026-10-05,2026-10-31,,Page 24
1042,2026-10-05,2026-10-31,,Page 24
1043,2026-11-15,2026-11-30,,Page 24
1044,2026-08-15,2026-09-24,,Page 24
1045,2026-10-05,2026-10-31,,Page 24
1046,2026-10-05,2026-10-31,,Page 24
1047,2026-11-15,2026-11-30,,Page 24
1048,2026-10-10,2026-11-30,,Page 24
1049,2026-10-10,2026-11-30,,Page 24
1050,2026-10-10,2026-11-30,,Page 24
1051,2026-10-10,2026-11-30,,Page 24
1052,2026-10-10,2026-11-30,,Page 24
1053,2026-10-10,2026-11-30,,Page 24
1054,2026-10-10,2026-11-30,,Page 24
1055,2026-10-10,2026-11-30,,Page 24
1056,2026-08-30,2026-09-30,,Page 24
1057,2026-10-10,2026-10-24,,Page 24
1058,2026-10-10,2026-10-31,,Page 25
1059,2026-10-10,2026-11-30,,Page 25
1060,2026-08-30,2026-09-30,,Page 25
1061,2026-10-10,2026-11-10,,Page 25
1062,2026-11-01,2026-11-14,,Page 25
1063,2026-10-25,2026-11-15,,Page 25
1064,2026-12-02,2026-12-21,,Page 25
1065,2026-10-10,2026-10-31,,Page 25
1066,2026-10-05,2026-11-08,,Page 25
1067,2026-10-05,2026-11-08,,Page 25
1068,2026-10-05,2026-11-15,,Page 25
1069,2026-08-30,2026-09-30,,Page 25
1070,2026-08-01,2026-09-30,,Page 25
1071,2026-08-15,2026-09-30,,Page 25
1072,2026-11-16,2026-12-16,,Page 25
1073,2026-08-15,2026-09-30,,Page 25
1074,2026-08-15,2026-09-30,,Page 25
1075,2026-08-15,2026-09-30,,Page 25
1076,2026-08-15,2026-09-14,,Page 26
1077,2026-08-15,2026-09-14,,Page 26
1078,2026-08-15,2026-09-14,,Page 26
1079,2026-08-30,2026-12-19,,Page 26
1080,2026-08-30,2026-09-30,,Page 26
1081,2026-08-30,2026-12-19,,Page 26
1082,2026-11-16,2026-12-05,,Page 26
1083,2026-11-01,2026-11-30,,Page 26
1084,2026-10-01,2026-10-09,,Page 26
1085,2026-11-25,2026-12-09,,Page 26
1086,2026-11-01,2026-11-30,,Page 26
1087,2026-11-10,2026-11-30,,Page 26
1088,2026-10-01,2026-10-09,,Page 26
1089,2026-10-01,2026-10-14,,Page 26
1090,2026-11-01,2026-11-30,,Page 26
1091,2026-11-01,2026-11-14,,Page 26
1092,2026-11-10,2026-11-24,,Page 26
1093,2026-11-01,2026-11-14,,Page 26
