Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail,Year
1001,Any Weapon,1-1,58,31,53,887,31,,71,33,68,2023
1002,Any Weapon,11,50,38,76,295,38,,94,,0,2023
1003,Any Weapon,11,25,19,78,66,19,,87,,0,2023
1004,Any Weapon,11A,43,29,68,215,29,,82,,0,2023
1005,Any Weapon,11A,23,18,80,145,18,,71,,0,2023
1006,Any Weapon,13,100,55,55,594,55,,74,,0,2023
1007,Any Weapon,14,145,70,49,718,70,,46,,0,2023
1008,Any Weapon,14,156,75,48,664,75,,70,,0,2023
1009,Any Weapon,18,51,31,60,311,31,,60,,0,2023
1010,Any Weapon,18,14,11,80,90,11,,71,,0,2023
1011,Any Weapon,19A,9,5,57,43,5,,100,,0,2023
1012,Any Weapon,20A,63,29,46,300,29,,74,,0,2023
1013,Any Weapon,21,5,4,76,42,4,,67,,0,2023
1014,Any Weapon,22,60,52,87,411,52,,78,,0,2023
1015,Any Weapon,23,24,8,34,194,8,,83,,0,2023
1016,Any Weapon,25,10,8,80,78,8,,75,,0,2023
1017,Any Weapon,26,72,38,53,423,38,,76,,0,2023
1018,Any Weapon,27,372,234,63,2113,234,,70,,0,2023
1019,Any Weapon,28,5,3,60,74,3,,100,,0,2023
1020,Any Weapon,30,5,4,80,50,4,,75,,0,2023
1021,Any Weapon,30A,25,5,21,118,5,,75,,0,2023
1022,Any Weapon,31,30,21,69,218,21,,87,,0,2023
1023,Any Weapon,32,41,35,86,249,35,,84,0,3,2023
1024,Any Weapon,32A,30,20,66,206,20,,81,,0,2023
1025,Any Weapon,36,5,3,60,72,3,,33,,0,2023
1026,Any Weapon,36A,5,4,80,51,4,,50,,0,2023
1027,Any Weapon,36B,4,2,43,58,2,,100,,0,2023
1028,Any Weapon,38-1,5,3,60,27,3,,100,,0,2023
1029,Short-Range Weapons,38-2,14,8,54,121,8,,76,,0,2023
1030,Any Weapon,39,176,58,33,1448,58,,39,,0,2023
1031,Any Weapon,40,201,163,81,1227,163,,74,0,1,2023
1032,Any Weapon,41,96,58,61,512,58,,48,50,4,2023
1033,Any Weapon,42,70,36,52,452,36,,62,,0,2023
1034,Any Weapon,44,211,157,74,1640,157,,77,,0,2023
1035,Any Weapon,45,73,44,60,494,44,,85,,0,2023
1036,Any Weapon,47,45,16,35,257,16,,53,,0,2023
1037,Any Weapon,47-1,9,8,86,77,8,,83,,0,2023
1038,Any Weapon,48,7,2,33,38,2,,50,,0,2023
1039,Any Weapon,49,10,4,39,54,4,,0,,0,2023
1040,Any Weapon,50-1,11,6,59,82,6,,100,,0,2023
1041,Any Weapon,52,74,38,52,638,38,,75,0,3,2023
1042,Any Weapon,54,288,146,51,1760,146,,52,0,3,2023
1043,Any Weapon,54,20,18,89,93,18,,94,0,6,2023
1044,Any Weapon,55,26,19,74,165,19,,85,,0,2023
1045,Any Weapon,55,298,152,51,1714,152,,56,0,1,2023
1046,Any Weapon,57,48,32,66,215,32,,55,0,3,2023
1047,Any Weapon,57,10,10,100,33,10,,60,,0,2023
1048,Any Weapon,58-1,10,8,75,58,8,,83,,0,2023
1049,Any Weapon,60-1,40,37,92,316,37,,91,,0,2023
1050,Any Weapon,62,20,18,90,170,18,,81,,0,2023
1051,Any Weapon,66,9,4,44,61,4,,100,,0,2023
1052,Any Weapon,66A,4,0,0,58,,,,,,2023
1053,Any Weapon,67,39,19,50,397,19,,90,,0,2023
1054,Any Weapon,69,8,2,24,88,2,,50,,0,2023
1055,Any Weapon,70,5,4,80,37,4,,100,,0,2023
1056,Any Weapon,70,152,87,57,1305,87,,73,,0,2023
1057,Any Weapon,73,1466,508,35,6777,508,,45,0,1,2023
1058,Any Weapon,73,5,2,40,76,2,,100,,0,2023
1059,Any Weapon,78,189,56,30,1490,56,,47,,0,2023
1060,Any Weapon,44,219,151,69,750,,151,,,1,2023
1061,Any Weapon,45,215,127,59,688,,127,,,0,2023
1062,Any Weapon,52,86,38,44,342,,38,,,0,2023
1063,Any Weapon,55,91,63,69,197,1,62,100,,2,2023
1065,Archery or Muzzleloader,8A,19,2,12,100,1,1,,0,100,2023
1066,Archery or Muzzleloader,10A,44,24,56,272,18,7,,28,100,2023
1067,Any Weapon,39-1,1739,650,37,9082,123,527,23,0,2,2023
1068,Any Weapon,60-2,113,65,58,694,39,26,39,,0,2023
1069,Short-Range Weapons,63A,42,17,39,254,7,10,100,,0,2023
1070,Any Weapon,73,37,22,60,151,12,10,37,,0,2023
1071,Archery,11A,9,4,47,69,4,,100,,0,2023
1072,Archery,21-1,8,1,15,59,1,,0,,0,2023
1073,Archery,22,24,5,22,240,4,1,25,,0,2023
1074,Archery,39-2,45,3,6,356,1,1,100,,0,2023
1075,Archery,40,46,15,32,438,15,,66,,0,2023
1076,Archery,41-1,18,5,28,118,5,,0,,0,2023
1077,Archery,43-1,37,12,33,315,7,6,33,,0,2023
1078,Archery,44,52,19,36,512,19,,93,,0,2023
1079,Archery,45,9,3,30,115,3,,100,,0,2023
