Take Method,Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail,Year
Any Weapon,1,2791,7034,40,46260,1984,808,56,20,94,2024
Archery,1,95,633,15,4344,64,31,0,32,97,2024
Muzzleloader,1,9,76,12,299,8,2,100,0,69,2024
All Weapons Combined,1,2896,7743,37,50904,2055,841,56,20,94,2024
Any Weapon,2,1266,3367,38,22561,891,375,0,16,100,2024
Archery,2,96,486,20,3220,88,8,,18,100,2024
Muzzleloader,2,8,24,33,34,8,,,0,100,2024
All Weapons Combined,2,1370,3878,35,25815,987,383,0,17,100,2024
Any Weapon,3,1043,3115,33,17989,745,298,100,14,100,2024
Archery,3,79,448,18,2867,47,32,,28,100,2024
Muzzleloader,3,13,89,15,251,13,,,50,100,2024
All Weapons Combined,3,1135,3652,31,21106,805,330,100,15,100,2024
Any Weapon,4,493,2585,19,14880,323,170,33,20,76,2024
Archery,4,45,433,10,3123,36,9,21,0,84,2024
Muzzleloader,4,141,599,24,2634,118,23,0,12,98,2024
All Weapons Combined,4,679,3616,19,20636,477,202,31,20,80,2024
Any Weapon,4A,131,412,32,2443,101,30,44,25,83,2024
Archery,4A,16,56,29,367,11,5,0,50,75,2024
Muzzleloader,4A,0,5,0,19,,,,,,2024
All Weapons Combined,4A,147,472,31,2829,112,35,39,28,83,2024
Any Weapon,5,1130,2649,43,17628,876,254,0,25,100,2024
Archery,5,51,228,22,1449,33,18,,12,100,2024
Muzzleloader,5,5,20,25,52,5,,,0,100,2024
All Weapons Combined,5,1186,2897,41,19129,914,272,0,24,100,2024
Any Weapon,6,1341,3297,41,21811,959,382,34,18,94,2024
Archery,6,24,314,8,2370,19,4,0,26,93,2024
Muzzleloader,6,0,5,0,19,,,,,,2024
All Weapons Combined,6,1364,3616,38,24201,978,386,32,18,94,2024
Any Weapon,7,19,135,14,942,19,,67,0,25,2024
Archery,7,5,57,9,510,5,,0,,0,2024
Muzzleloader,7,6,34,18,105,6,,100,0,82,2024
All Weapons Combined,7,30,226,13,1556,30,0,52,0,32,2024
Any Weapon,8,922,2153,43,13581,726,195,39,20,94,2024
Archery,8,14,116,12,707,13,2,,0,100,2024
Muzzleloader,8,0,2,0,8,,,,,,2024
All Weapons Combined,8,936,2270,41,14295,739,197,39,20,94,2024
Any Weapon,8A,1930,4588,42,30932,1405,524,71,26,100,2024
Archery,8A,25,256,10,2177,15,10,,34,100,2024
Muzzleloader,8A,24,153,16,591,6,18,,0,100,2024
All Weapons Combined,8A,1980,4996,40,33700,1426,553,71,26,100,2024
Any Weapon,9,6,63,10,412,6,,,0,100,2024
Archery,9,0,26,0,302,,,,,,2024
Muzzleloader,9,0,2,0,6,,,,,,2024
All Weapons Combined,9,6,92,7,721,6,0,,0,100,2024
Any Weapon,10,120,460,26,2797,83,37,72,27,94,2024
Archery,10,1,19,5,108,1,,,0,100,2024
All Weapons Combined,10,121,479,25,2904,84,37,72,26,94,2024
Any Weapon,10A,2137,5198,41,34314,1628,509,74,19,97,2024
Archery,10A,32,305,10,2812,18,14,,41,92,2024
Muzzleloader,10A,34,120,28,424,2,32,,0,100,2024
All Weapons Combined,10A,2202,5624,39,37549,1648,555,74,20,97,2024
Any Weapon,11,753,1679,45,9129,589,164,0,24,99,2024
Archery,11,0,3,0,12,,,,,,2024
Muzzleloader,11,0,3,0,18,,,,,,2024
All Weapons Combined,11,753,1685,45,9160,589,164,0,24,99,2024
Any Weapon,11A,463,1052,44,6067,383,80,38,26,98,2024
Archery,11A,13,36,36,201,13,,,78,100,2024
Muzzleloader,11A,0,2,0,3,,,,,,2024
All Weapons Combined,11A,476,1090,44,6272,396,80,38,28,98,2024
Any Weapon,12,52,207,25,1017,50,2,,14,100,2024
Archery,12,0,19,0,127,,,,,,2024
All Weapons Combined,12,52,226,23,1144,50,2,,14,100,2024
Any Weapon,13,207,438,47,2506,126,81,,17,100,2024
Archery,13,4,1,400,3,,4,,,100,2024
All Weapons Combined,13,211,439,48,2508,126,86,,17,100,2024
Any Weapon,14,354,1028,34,5789,285,69,0,23,98,2024
Archery,14,5,6,83,42,5,,,0,100,2024
Muzzleloader,14,0,8,0,10,,,,,,2024
All Weapons Combined,14,359,1042,34,5841,290,69,0,23,98,2024
Any Weapon,15,1013,2145,47,11162,673,340,65,16,99,2024
Archery,15,63,268,24,1911,47,16,,32,100,2024
Muzzleloader,15,5,6,83,17,5,,,33,100,2024
All Weapons Combined,15,1081,2419,45,13089,724,357,65,17,99,2024
Any Weapon,16,400,817,49,4511,308,93,,22,100,2024
Archery,16,3,3,100,13,3,,,0,100,2024
Muzzleloader,16,21,85,25,356,15,6,,0,100,2024
All Weapons Combined,16,425,905,47,4880,326,99,,21,100,2024
Any Weapon,16A,32,134,24,875,22,11,50,13,92,2024
Muzzleloader,16A,0,1,0,2,,,,,,2024
All Weapons Combined,16A,32,135,24,878,22,11,50,13,92,2024
Any Weapon,17,139,446,31,2550,130,8,73,26,52,2024
Archery,17,1,2,50,23,1,,,0,100,2024
All Weapons Combined,17,140,449,31,2573,132,8,73,26,52,2024
Any Weapon,18,181,551,33,2791,110,72,,21,100,2024
Archery,18,0,10,0,73,,,,,,2024
All Weapons Combined,18,181,561,32,2864,110,72,,21,100,2024
Any Weapon,19,140,387,36,2284,120,20,76,0,18,2024
Archery,19,5,6,83,59,,5,,,0,2024
All Weapons Combined,19,145,394,37,2343,120,25,76,0,18,2024
Any Weapon,19A,129,445,29,2360,106,24,38,0,37,2024
Archery,19A,10,78,13,467,10,,0,,0,2024
Muzzleloader,19A,0,6,0,15,,,,,,2024
All Weapons Combined,19A,139,529,26,2843,116,24,34,0,34,2024
Any Weapon,20,138,296,47,1582,101,37,56,18,58,2024
Archery,20,0,3,0,18,,,,,,2024
Muzzleloader,20,0,3,0,21,,,,,,2024
All Weapons Combined,20,138,302,46,1621,101,37,56,18,58,2024
Any Weapon,20A,56,188,30,956,55,2,18,96,46,2024
Archery,20A,0,10,0,54,,,,,,2024
Muzzleloader,20A,0,4,0,19,,,,,,2024
All Weapons Combined,20A,56,202,28,1029,55,2,18,96,46,2024
Any Weapon,21,260,638,41,3815,258,2,44,9,7,2024
Archery,21,40,90,44,743,15,25,27,,4,2024
Muzzleloader,21,29,43,67,188,23,6,,13,100,2024
All Weapons Combined,21,329,771,43,4746,296,33,43,11,15,2024
Any Weapon,21A,202,521,39,2984,175,26,42,0,33,2024
Archery,21A,8,48,17,459,7,1,50,0,60,2024
Muzzleloader,21A,20,50,40,312,9,11,,75,100,2024
All Weapons Combined,21A,230,619,37,3755,191,38,43,9,40,2024
Any Weapon,22,473,1340,35,5206,347,126,5,13,17,2024
Archery,22,149,487,31,3595,45,104,0,,6,2024
Muzzleloader,22,0,1,0,2,,,,,,2024
All Weapons Combined,22,622,1828,34,8803,392,230,4,13,15,2024
Any Weapon,23,536,1914,28,9855,415,121,42,16,57,2024
