Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
2001,Any Weapon,11,36,19,54,270,19,,12,65,2023
2002,Any Weapon,18,106,54,52,578,54,,9,55,2023
2003,Any Weapon,19A,11,4,36,112,4,,0,0,2023
2004,Any Weapon,23,9,2,22,56,2,,0,50,2023
2005,Any Weapon,29,177,84,48,1228,84,,6,52,2023
2006,Any Weapon,30,145,69,48,1032,69,,2,47,2023
2007,Any Weapon,30-1,30,24,81,162,24,,0,58,2023
2008,Any Weapon,31,73,35,48,557,35,,7,44,2023
2009,Any Weapon,36A-1,60,29,48,458,29,,0,40,2023
2010,Any Weapon,36A-2,110,68,62,710,68,,8,46,2023
2011,Any Weapon,37,96,57,59,670,57,,9,61,2023
2012,Any Weapon,37A,96,43,44,562,43,,0,63,2023
2013,Any Weapon,40,56,25,44,454,25,,0,50,2023
2014,Any Weapon,40-1,4,4,100,8,4,,0,100,2023
2015,Any Weapon,41,23,6,26,199,6,,0,58,2023
2016,Any Weapon,41,32,21,66,269,21,,5,74,2023
2017,Any Weapon,42,14,9,66,112,9,,0,100,2023
2018,Any Weapon,43,17,5,29,89,5,,0,74,2023
2019,Any Weapon,43,118,38,32,850,38,,10,54,2023
2020,Any Weapon,44,18,14,79,97,14,,9,58,2023
2021,Any Weapon,44,193,79,41,1151,79,,8,55,2023
2022,Any Weapon,45,120,56,47,958,56,,2,68,2023
2023,Any Weapon,46-1,13,6,50,156,6,,15,46,2023
2024,Any Weapon,46,38,18,47,236,18,,8,48,2023
2025,Any Weapon,48,21,10,45,123,10,,0,74,2023
2026,Any Weapon,48,143,54,38,832,54,,7,48,2023
2027,Any Weapon,49,18,7,40,120,7,,0,80,2023
2028,Any Weapon,49,158,62,39,905,62,,0,52,2023
2029,Any Weapon,50-1,56,28,50,345,28,,4,34,2023
2030,Any Weapon,51,12,11,92,59,11,,0,68,2023
2031,Any Weapon,51,122,54,44,817,52,1,5,29,2023
2032,Any Weapon,52,41,16,39,305,16,,0,69,2023
2033,Any Weapon,52A-1,95,56,60,807,56,,2,74,2023
2034,Any Weapon,54,23,16,70,148,16,,0,100,2023
2035,Any Weapon,55-1,49,32,65,498,32,,0,74,2023
2036,Any Weapon,58-1,71,35,50,550,35,,9,36,2023
2037,Any Weapon,60-1,40,14,36,261,14,,0,17,2023
2038,Any Weapon,60-2,120,85,71,1124,85,,6,47,2023
2039,Any Weapon,61,45,8,18,284,8,,17,17,2023
2040,Any Weapon,66A-1,48,24,49,310,24,,0,66,2023
2041,Any Weapon,66A-1,346,140,40,1720,140,,1,46,2023
2042,Any Weapon,70-1,25,16,64,125,16,,0,78,2023
2043,Any Weapon,70-1,237,100,42,1115,98,1,7,61,2023
2044,Any Weapon,75-1,25,12,46,140,12,,0,46,2023
2045,Any Weapon,1-1,86,46,54,962,,46,,,2023
2046,Any Weapon,2-1,22,10,43,201,,10,,,2023
2047,Any Weapon,3-1,42,31,73,498,,31,,,2023
2048,Any Weapon,3-2,42,22,51,338,,22,,,2023
2049,Any Weapon,5-1,86,51,60,914,,51,,,2023
2050,Any Weapon,8-1,22,12,56,134,,12,,,2023
2051,Any Weapon,8-2,95,31,33,829,,31,,,2023
2052,Any Weapon,10A-1,38,27,72,302,,27,,,2023
2053,Any Weapon,11A,114,22,19,1011,,22,,,2023
2054,Any Weapon,13,189,50,27,1150,,50,,,2023
2055,Any Weapon,18,135,54,40,766,1,53,0,0,2023
2056,Any Weapon,19A,23,7,30,168,,7,,,2023
2057,Any Weapon,19A-1,21,6,30,140,,6,,,2023
2058,Any Weapon,21A,63,31,50,372,,31,,,2023
