Take Method,Unit,Harvest,Hunters,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
Any Weapon,1,290,2776,10,15030,234,57,27,33,2024
Archery,1,98,901,11,7536,88,10,24,39,2024
Muzzleloader,1,68,504,13,1617,,68,,,2024
All Weapons Combined,1,456,4181,11,24184,322,135,26,34,2024
Any Weapon,2,56,1033,5,5100,39,16,28,0,2024
Archery,2,46,355,13,2444,41,5,4,34,2024
Muzzleloader,2,16,214,7,612,,16,,,2024
All Weapons Combined,2,118,1601,7,8156,81,38,16,18,2024
Any Weapon,3,162,1804,9,8852,125,38,58,8,2024
Archery,3,47,751,6,5730,45,2,23,49,2024
Muzzleloader,3,62,576,11,1641,,62,,,2024
All Weapons Combined,3,272,3131,9,16223,170,101,48,19,2024
Any Weapon,4,279,3118,9,16167,279,,44,16,2024
Archery,4,116,1394,8,10938,116,,23,42,2024
Muzzleloader,4,77,622,12,2767,77,,77,7,2024
All Weapons Combined,4,473,5134,9,29872,473,0,44,21,2024
Any Weapon,4A,35,367,10,2054,30,6,22,0,2024
Archery,4A,26,201,13,1766,26,,15,10,2024
Muzzleloader,4A,7,32,22,97,,7,,,2024
All Weapons Combined,4A,68,600,11,3916,56,12,19,5,2024
Any Weapon,5,305,1677,18,8832,227,78,43,8,2024
Archery,5,80,485,16,3502,79,2,19,14,2024
Muzzleloader,5,37,396,9,1172,,37,,,2024
All Weapons Combined,5,423,2558,17,13506,306,117,37,10,2024
Any Weapon,6,392,2722,14,15562,296,96,29,21,2024
Archery,6,152,1052,14,8947,143,9,32,25,2024
Muzzleloader,6,0,35,0,124,,,,,2024
All Weapons Combined,6,544,3810,14,24633,439,105,30,22,2024
Any Weapon,7,41,317,13,1775,41,,42,30,2024
Archery,7,30,205,15,1683,30,,21,54,2024
Muzzleloader,7,1,68,1,359,1,,100,0,2024
All Weapons Combined,7,73,590,12,3817,73,0,34,39,2024
Any Weapon,8,215,718,30,3697,143,72,32,26,2024
Archery,8,34,168,20,1142,33,1,19,50,2024
Muzzleloader,8,11,79,14,314,,11,,,2024
All Weapons Combined,8,260,965,27,5153,176,84,29,30,2024
Any Weapon,8A,369,1746,21,9594,308,62,25,12,2024
Archery,8A,140,572,24,5122,115,25,17,38,2024
Muzzleloader,8A,32,310,10,1305,11,20,100,0,2024
All Weapons Combined,8A,541,2628,21,16021,434,107,25,19,2024
Any Weapon,9,14,122,11,638,14,,10,0,2024
Archery,9,7,111,6,893,7,,0,85,2024
Muzzleloader,9,0,1,0,12,,,,,2024
All Weapons Combined,9,22,234,9,1542,22,0,6,29,2024
Any Weapon,10,52,429,12,2825,52,,0,37,2024
Archery,10,25,236,11,1874,25,,0,48,2024
All Weapons Combined,10,77,665,12,4698,77,0,0,40,2024
Any Weapon,10A,465,2055,23,16040,465,,31,12,2024
Archery,10A,132,827,16,7171,101,31,18,30,2024
Muzzleloader,10A,63,430,15,1661,16,48,100,0,2024
All Weapons Combined,10A,661,3312,20,24873,582,79,31,14,2024
Any Weapon,11A,39,211,18,1141,29,10,7,69,2024
Archery,11A,23,68,34,278,22,1,5,47,2024
Muzzleloader,11A,0,5,0,20,,,,,2024
All Weapons Combined,11A,62,285,22,1439,50,11,6,60,2024
Any Weapon,12,25,212,12,1434,25,,0,33,2024
Archery,12,16,114,14,867,16,,0,75,2024
All Weapons Combined,12,41,326,13,2300,41,0,0,49,2024
Any Weapon,14,218,710,31,4250,218,,18,15,2024
Archery,14,1,11,9,75,1,,0,0,2024
Muzzleloader,14,75,143,52,662,,75,,,2024
All Weapons Combined,14,294,863,34,4987,219,75,18,15,2024
Any Weapon,15,53,384,14,2418,53,,36,25,2024
Archery,15,31,234,13,2564,31,,5,34,2024
Muzzleloader,15,0,11,0,45,,,,,2024
All Weapons Combined,15,84,629,13,5027,84,0,25,28,2024
Any Weapon,16,77,196,39,967,77,,29,26,2024
Archery,16,1,5,20,49,1,,0,100,2024
Muzzleloader,16,7,43,16,247,,7,,,2024
All Weapons Combined,16,85,244,35,1263,78,7,28,27,2024
Any Weapon,16A,16,181,9,1146,16,,8,25,2024
Archery,16A,0,1,0,4,,,,,2024
All Weapons Combined,16A,16,182,9,1150,16,0,8,25,2024
Any Weapon,17,78,494,16,3062,78,,4,51,2024
Archery,17,0,6,0,34,,,,,2024
All Weapons Combined,17,78,500,16,3096,78,0,4,51,2024
Any Weapon,19,61,365,17,2363,61,,14,32,2024
Archery,19,0,6,0,35,,,,,2024
All Weapons Combined,19,61,371,16,2398,61,0,14,32,2024
Any Weapon,19A,71,388,18,2253,71,,19,31,2024
Archery,19A,18,273,7,1816,13,4,20,52,2024
Muzzleloader,19A,0,4,0,18,,,,,2024
All Weapons Combined,19A,89,665,13,4087,84,4,19,34,2024
Any Weapon,20,58,310,19,2142,58,,19,38,2024
Archery,20,1,2,50,9,1,,100,0,2024
All Weapons Combined,20,60,313,19,2150,60,0,21,37,2024
Any Weapon,20A,62,300,21,1669,62,,14,46,2024
Archery,20A,0,8,0,46,,,,,2024
All Weapons Combined,20A,62,308,20,1715,62,0,14,46,2024
Any Weapon,21,96,397,24,2526,96,,55,21,2024
Archery,21,22,130,17,1026,19,2,31,29,2024
