hunt_code,open_date,close_date,bag_limit_description,notes
HD-293,2026-08-15,2026-10-23,,Page 67: Elk B License: 293-01 Antlerless Elk Jun 1 150 5-350 Aug 15-Oct 23 - Oct 24-Nov 29 Dec 12-Dec 20 - south portion of HD 293 (SE of
HD-293,2026-10-24,2026-11-29,,Page 67: Elk B License: 293-01 Antlerless Elk Jun 1 150 5-350 Aug 15-Oct 23 - Oct 24-Nov 29 Dec 12-Dec 20 - south portion of HD 293 (SE of
HD-293,2026-12-12,2026-12-20,,Page 67: Elk B License: 293-01 Antlerless Elk Jun 1 150 5-350 Aug 15-Oct 23 - Oct 24-Nov 29 Dec 12-Dec 20 - south portion of HD 293 (SE of
HD-290,2026-08-15,2026-09-04,,Page 67: Elk B License: 290-01 Antlerless Elk Jun 1 200 5-500 Aug 15-Sep 04 Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Jan 08 lands. Also valid in HD 290 with
HD-290,2026-09-05,2026-10-18,,Page 67: Elk B License: 290-01 Antlerless Elk Jun 1 200 5-500 Aug 15-Sep 04 Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Jan 08 lands. Also valid in HD 290 with
HD-290,2026-10-24,2026-11-29,,Page 67: Elk B License: 290-01 Antlerless Elk Jun 1 200 5-500 Aug 15-Sep 04 Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Jan 08 lands. Also valid in HD 290 with
HD-290,2026-11-30,2027-01-08,,Page 67: Elk B License: 290-01 Antlerless Elk Jun 1 200 5-500 Aug 15-Sep 04 Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Jan 08 lands. Also valid in HD 290 with
HD-390,2026-08-15,2026-09-04,,"Page 83: Aug 15-Sep 04 - - - - license. In HD 390, only valid on"
HD-390,2026-09-05,2026-10-18,,"Page 83: - Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Feb 15 license. In HD 390, not valid on"
HD-390,2026-10-24,2026-11-29,,"Page 83: - Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Feb 15 license. In HD 390, not valid on"
HD-390,2026-11-30,2027-02-15,,"Page 83: - Sep 05-Oct 18 Oct 24-Nov 29 - Nov 30-Feb 15 license. In HD 390, not valid on"
HD-455,2026-09-05,2026-10-18,,Page 87: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-455,2026-10-24,2026-11-29,,Page 87: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-455,2026-12-12,2026-12-20,,Page 87: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-455,2026-09-05,2026-10-18,,"Page 87: Deer B License: 004-01 Antlerless White-tailed Deer Jun 1 2,000 - Sep 05-Oct 18 Oct 24-Nov 15 - - 3,000 HD 455."
HD-455,2026-10-24,2026-11-15,,"Page 87: Deer B License: 004-01 Antlerless White-tailed Deer Jun 1 2,000 - Sep 05-Oct 18 Oct 24-Nov 15 - - 3,000 HD 455."
HD-410,2026-09-05,2026-10-18,,Page 88: Elk B License: 410-01 Antlerless Elk Jun 1 300 50-300 - Sep 05-Oct 18 - - - Only valid in HD 410.
HD-455,2026-09-05,2026-10-18,,Page 89: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-455,2026-10-24,2026-11-29,,Page 89: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-455,2026-12-12,2026-12-20,,Page 89: Deer B License: 004-00 Antlerless White-tailed Deer UNL - - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Jun 15 Region 4 HDs except HD 455.
HD-413,2026-11-30,2027-01-15,,Page 90: Antlerless White-tailed Deer - - - - - - - Nov 30-Jan 15 portion of HD 413. See Legal
HD-413,2026-11-30,2027-01-15,,Page 90: - - - - - Nov 30-Jan 15 portion of HD 413. See Legal
HD-413,2026-11-30,2027-01-15,,Page 90: - - - - Nov 30-Jan 15 portion of HD 413. See Legal
HD-620,2026-09-05,2026-10-18,,Page 109: Elk B License: 621-01 Antlerless Elk Jun 1 100 100-600 - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Only valid in HD 620 and HD 621.
HD-620,2026-10-24,2026-11-29,,Page 109: Elk B License: 621-01 Antlerless Elk Jun 1 100 100-600 - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Only valid in HD 620 and HD 621.
HD-620,2026-12-12,2026-12-20,,Page 109: Elk B License: 621-01 Antlerless Elk Jun 1 100 100-600 - Sep 05-Oct 18 Oct 24-Nov 29 Dec 12-Dec 20 - Only valid in HD 620 and HD 621.
