"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2001,11,1st,40,732,40,5%,164,0,0%,637,36,6%,95,4,4%,40,2024
2002,18,1st,110,710,110,15%,303,0,0%,562,99,18%,148,11,7%,110,2024
2003,19A,1st,10,109,10,9%,63,0,0%,93,10,11%,16,0,0%,10,2024
2004,23,1st,10,227,10,4%,136,0,0%,194,9,5%,33,1,3%,10,2024
2005,29,1st,180,1032,180,17%,353,0,0%,783,162,21%,249,18,7%,180,2024
2006,30,1st,150,894,150,17%,389,0,0%,711,135,19%,183,15,8%,150,2024
2007,30-1,1st,30,691,30,4%,215,0,0%,553,27,5%,138,3,2%,30,2024
2008,31,1st,75,878,75,9%,420,0,0%,781,72,9%,97,3,3%,75,2024
2009,36A-1,1st,60,339,60,18%,165,0,0%,239,54,23%,100,6,6%,60,2024
2010,36A-2,1st,120,917,120,13%,267,0,0%,716,108,15%,201,12,6%,120,2024
2011,37,1st,100,668,100,15%,216,0,0%,493,89,18%,175,11,6%,100,2024
2012,37A,1st,100,487,100,21%,214,0,0%,366,90,25%,121,10,8%,100,2024
2013,40,1st,60,2153,60,3%,742,0,0%,1842,54,3%,311,6,2%,60,2024
2014,40-1,1st,5,1038,5,0%,426,0,0%,836,5,1%,202,0,0%,5,2024
2015,41,1st,30,308,30,10%,279,0,0%,238,27,11%,70,3,4%,30,2024
2016,41,1st,30,602,30,5%,349,0,0%,498,27,5%,104,3,3%,30,2024
2017,42,1st,15,703,15,2%,367,0,0%,571,14,2%,132,1,1%,15,2024
2018,43,1st,20,340,20,6%,249,0,0%,280,18,6%,60,2,3%,20,2024
2019,43,1st,125,1101,125,11%,544,0,0%,871,113,13%,230,12,5%,125,2024
2020,44,1st,20,773,20,3%,485,0,0%,630,18,3%,143,2,1%,20,2024
2021,44,1st,200,2187,200,9%,1046,0,0%,1907,180,9%,280,20,7%,200,2024
2022,45,1st,125,1353,125,9%,516,0,0%,1164,113,10%,189,12,6%,125,2024
2023,46-1,1st,15,245,15,6%,116,0,0%,220,14,6%,25,1,4%,15,2024
2024,46,1st,40,579,40,7%,255,0,0%,455,36,8%,124,4,3%,40,2024
2025,48,1st,20,209,20,10%,133,0,0%,170,18,11%,39,2,5%,20,2024
2026,48,1st,150,758,150,20%,408,0,0%,618,135,22%,140,15,11%,150,2024
2027,49,1st,20,284,20,7%,225,0,0%,254,18,7%,30,2,7%,20,2024
2028,49,1st,175,879,175,20%,552,0,0%,705,158,22%,174,17,10%,175,2024
2029,50-1,1st,60,843,60,7%,307,0,0%,731,54,7%,112,6,5%,60,2024
2030,51,1st,10,323,10,3%,168,0,0%,300,10,3%,23,0,0%,10,2024
2031,51,1st,125,914,125,14%,436,0,0%,780,113,14%,134,12,9%,125,2024
2032,52,1st,50,329,50,15%,242,0,0%,261,45,17%,68,5,7%,50,2024
2033,52A-1,1st,100,1585,100,6%,370,0,0%,1517,98,6%,68,2,3%,100,2024
2034,54,1st,20,2755,20,1%,1132,0,0%,2147,18,1%,608,2,0%,20,2024
2035,55-1,1st,50,1257,50,4%,485,0,0%,1043,45,4%,214,5,2%,50,2024
2036,58-1,1st,75,1230,75,6%,542,0,0%,1141,71,6%,89,4,4%,75,2024
2037,60-1,1st,40,811,40,5%,378,0,0%,755,36,5%,56,4,7%,40,2024
2038,60-2,1st,120,2117,120,6%,712,0,0%,2045,118,6%,72,2,3%,120,2024
2039,61,1st,50,187,50,27%,213,0,0%,160,48,30%,27,2,7%,50,2024
2040,66A-1,1st,50,1222,50,4%,667,0,0%,972,45,5%,250,5,2%,50,2024
2041,66A-1,1st,350,2199,350,16%,799,0,0%,1690,315,19%,509,35,7%,350,2024
2042,70-1,1st,25,803,25,3%,369,0,0%,746,24,3%,57,1,2%,25,2024
2043,70-1,1st,250,1083,250,23%,621,0,0%,925,225,24%,158,25,16%,250,2024
2044,75-1,1st,25,251,25,10%,67,0,0%,181,23,13%,70,2,3%,25,2024
2045,1-1,1st,100,687,100,15%,232,0,0%,674,100,15%,13,0,0%,100,2024
2046,2-1,1st,25,171,25,15%,144,0,0%,167,25,15%,4,0,0%,25,2024
2047,3-1,1st,50,311,50,16%,180,0,0%,309,50,16%,2,0,0%,50,2024
2048,3-2,1st,50,217,50,23%,174,0,0%,212,50,24%,5,0,0%,50,2024
2049,5-1,1st,100,489,100,20%,133,0,0%,467,97,21%,22,3,14%,100,2024
2050,8-1,1st,25,238,25,11%,164,0,0%,214,25,12%,24,0,0%,25,2024
2051,8-2,1st,100,385,100,26%,173,0,0%,369,96,26%,16,4,25%,100,2024
2052,10A-1,1st,40,352,40,11%,38,0,0%,343,40,12%,9,0,0%,40,2024
2053,11A,1st,150,131,131,100%,98,19,19%,129,129,100%,2,2,100%,150,2024
2054,13,1st,250,51,51,100%,336,84,25%,33,33,100%,18,18,100%,135,2024
2055,18,1st,150,224,150,67%,155,0,0%,207,138,67%,17,12,71%,150,2024
2056,19A,1st,25,41,25,61%,51,0,0%,35,23,66%,6,2,33%,25,2024
2057,19A-1,1st,30,42,30,71%,46,0,0%,39,28,72%,3,2,67%,30,2024
2058,21A,1st,75,170,75,44%,58,0,0%,156,73,47%,14,2,14%,75,2024
2059,22-1,1st,200,571,200,35%,308,0,0%,550,195,35%,21,5,24%,200,2024
2060,22-1,1st,200,650,200,31%,365,0,0%,635,196,31%,15,4,27%,200,2024
2061,23-1,1st,50,89,50,56%,44,0,0%,87,48,55%,2,2,100%,50,2024
2062,23-1,1st,30,52,30,58%,70,0,0%,48,27,56%,4,3,75%,30,2024
2063,23-2,1st,75,28,28,100%,41,23,56%,26,26,100%,2,2,100%,51,2024
2064,23-2,1st,25,99,25,25%,30,0,0%,98,25,26%,1,0,0%,25,2024
2065,23-3,1st,40,23,23,100%,39,17,44%,21,21,100%,2,2,100%,40,2024
2066,23-3,1st,25,75,25,33%,41,0,0%,75,25,33%,0,0,0%,25,2024
2067,24-1,1st,150,158,150,95%,92,0,0%,151,143,95%,7,7,100%,150,2024
2068,24-2,1st,75,155,75,48%,49,0,0%,154,75,49%,1,0,0%,75,2024
2069,29,1st,35,76,35,46%,87,0,0%,74,35,47%,2,0,0%,35,2024
2070,30,1st,75,145,75,52%,112,0,0%,134,70,52%,11,5,45%,75,2024
2071,31,1st,125,246,125,51%,205,0,0%,220,114,52%,26,11,42%,125,2024
2072,31,1st,100,253,100,40%,216,0,0%,248,99,40%,5,1,20%,100,2024
2073,32A-1,1st,50,158,50,32%,123,0,0%,153,48,31%,5,2,40%,50,2024
2074,36-1,1st,100,100,95,95%,88,5,6%,85,85,100%,15,10,67%,100,2024
2075,36B-1,1st,100,77,77,100%,50,19,38%,67,67,100%,10,10,100%,96,2024
2076,37,1st,60,88,60,68%,76,0,0%,80,54,68%,8,6,75%,60,2024
2077,37,1st,100,169,100,59%,221,0,0%,142,90,63%,27,10,37%,100,2024
2078,37A,1st,45,47,45,96%,99,0,0%,43,41,95%,4,4,100%,45,2024
2079,39-1,1st,650,1631,650,40%,717,0,0%,1535,615,40%,96,35,36%,650,2024
2080,39-2,1st,500,918,500,54%,665,0,0%,906,491,54%,12,9,75%,500,2024
2081,40-1,1st,150,658,150,23%,419,0,0%,634,146,23%,24,4,17%,150,2024
2082,41,1st,75,220,75,34%,207,0,0%,201,70,35%,19,5,26%,75,2024
2083,43-1,1st,100,264,100,38%,169,0,0%,252,95,38%,12,5,42%,100,2024
2084,44,1st,150,564,150,27%,520,0,0%,552,145,26%,12,5,42%,150,2024
2085,46,1st,75,166,75,45%,239,0,0%,159,73,46%,7,2,29%,75,2024
2086,48-1,1st,250,314,250,80%,194,0,0%,286,228,80%,28,22,79%,250,2024
2087,48-2,1st,200,206,200,97%,203,0,0%,194,188,97%,12,12,100%,200,2024
2088,48-3,1st,25,43,25,58%,37,0,0%,41,24,59%,2,1,50%,25,2024
2089,51,1st,150,235,150,64%,195,0,0%,228,143,63%,7,7,100%,150,2024
2090,54,1st,200,1186,200,17%,798,0,0%,1159,194,17%,27,6,22%,200,2024
2091,55-2,1st,50,59,50,85%,87,0,0%,59,50,85%,0,0,0%,50,2024
2092,56,1st,200,178,178,100%,263,22,8%,174,174,100%,4,4,100%,200,2024
2093,58,1st,200,354,200,56%,209,0,0%,344,194,56%,10,6,60%,200,2024
2094,59-1,1st,250,633,250,39%,325,0,0%,615,243,40%,18,7,39%,250,2024
2095,60-1,1st,400,651,400,61%,471,0,0%,626,386,62%,25,14,56%,400,2024
2096,60-2,1st,300,929,300,32%,767,0,0%,910,296,33%,19,4,21%,300,2024
2097,62-1,1st,100,107,100,93%,141,0,0%,106,99,93%,1,1,100%,100,2024
2098,63,1st,1047,365,365,100%,873,682,78%,354,354,100%,11,11,100%,1047,2024
2099,66-2,1st,400,367,367,100%,553,33,6%,337,337,100%,30,30,100%,400,2024
2100,66-2,1st,400,402,399,99%,497,1,0%,389,386,99%,13,13,100%,400,2024
2101,66A,1st,50,59,50,85%,58,0,0%,52,45,87%,7,5,71%,50,2024
2102,67-1,1st,40,99,40,40%,21,0,0%,82,36,44%,17,4,24%,40,2024
2103,68,1st,125,101,101,100%,194,24,12%,97,97,100%,4,4,100%,125,2024
2104,76,1st,700,851,700,82%,397,0,0%,772,633,82%,79,67,85%,700,2024
2105,76-1,1st,100,75,75,100%,192,25,13%,74,74,100%,1,1,100%,100,2024
2106,1-2,1st,25,1620,25,2%,444,0,0%,1558,24,2%,62,1,2%,25,2024
2107,13,1st,335,516,335,65%,91,0,0%,407,302,74%,109,33,30%,335,2024
2108,31,1st,50,632,50,8%,263,0,0%,557,46,8%,75,4,5%,50,2024
2109,39-3,1st,50,182,50,27%,132,0,0%,174,49,28%,8,1,13%,50,2024
2110,52,1st,25,373,25,7%,173,0,0%,312,23,7%,61,2,3%,25,2024
2111,60A,1st,125,423,125,30%,153,0,0%,391,113,29%,32,12,38%,125,2024
2112,62-1,1st,40,233,40,17%,170,0,0%,220,36,16%,13,4,31%,40,2024
2113,63,1st,524,191,191,100%,448,333,74%,179,179,100%,12,12,100%,524,2024
2114,63,1st,200,847,200,24%,216,0,0%,806,185,23%,41,15,37%,200,2024
2115,18,1st,40,325,40,12%,98,0,0%,232,36,16%,93,4,4%,40,2024
2116,39,1st,50,550,50,9%,266,0,0%,441,45,10%,109,5,5%,50,2024
2117,40-1,1st,25,818,25,3%,230,0,0%,640,23,4%,178,2,1%,25,2024
2118,44,1st,25,487,25,5%,168,0,0%,333,23,7%,154,2,1%,25,2024
2119,45-1,1st,25,124,25,20%,80,0,0%,92,23,25%,32,2,6%,25,2024
2120,46-1,1st,10,73,10,14%,51,0,0%,56,9,16%,17,1,6%,10,2024
2121,54,1st,20,1202,20,2%,286,0,0%,786,18,2%,416,2,0%,20,2024
2122,22,1st,150,37,37,100%,92,75,82%,37,37,100%,0,0,0%,112,2024
2123,30A,1st,50,142,50,35%,24,0,0%,101,45,45%,41,5,12%,50,2024
2124,33-1,1st,25,161,25,16%,71,0,0%,158,25,16%,3,0,0%,25,2024
2125,33-2,1st,50,118,50,42%,84,0,0%,100,45,45%,18,5,28%,50,2024
2126,36A-1,1st,25,6,6,100%,30,15,50%,4,4,100%,2,2,100%,21,2024
2127,36A-2,1st,125,136,109,80%,128,16,13%,97,97,100%,39,12,31%,125,2024
2128,39,1st,50,610,50,8%,220,0,0%,548,48,9%,62,2,3%,50,2024
2129,39,1st,550,312,312,100%,466,238,51%,296,296,100%,16,16,100%,550,2024
