"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2002,18,2nd,7,365,7,2%,79,0,0%,283,6,2%,82,1,1%,7,2024
2004,23,2nd,1,101,1,1%,39,0,0%,86,1,1%,15,0,0%,1,2024
2005,29,2nd,2,201,2,1%,56,0,0%,137,2,1%,64,0,0%,2,2024
2006,30,2nd,5,406,5,1%,111,0,0%,360,5,1%,46,0,0%,5,2024
2007,30-1,2nd,2,316,2,1%,70,0,0%,259,2,1%,57,0,0%,2,2024
2008,31,2nd,4,300,4,1%,65,0,0%,264,3,1%,36,1,3%,4,2024
2009,36A-1,2nd,2,117,2,2%,43,0,0%,102,2,2%,15,0,0%,2,2024
2011,37,2nd,3,170,3,2%,56,0,0%,150,3,2%,20,0,0%,3,2024
2012,37A,2nd,7,251,7,3%,52,0,0%,200,5,3%,51,2,4%,7,2024
2013,40,2nd,1,556,1,0%,167,0,0%,478,1,0%,78,0,0%,1,2024
2016,41,2nd,2,356,2,1%,103,0,0%,310,2,1%,46,0,0%,2,2024
2019,43,2nd,9,674,9,1%,142,0,0%,562,8,1%,112,1,1%,9,2024
2021,44,2nd,7,1055,7,1%,303,0,0%,956,7,1%,99,0,0%,7,2024
2022,45,2nd,1,148,1,1%,93,0,0%,126,1,1%,22,0,0%,1,2024
2024,46,2nd,2,251,2,1%,49,0,0%,196,1,1%,55,1,2%,2,2024
2025,48,2nd,1,46,1,2%,40,0,0%,39,1,3%,7,0,0%,1,2024
2026,48,2nd,7,324,7,2%,137,0,0%,266,7,3%,58,0,0%,7,2024
2027,49,2nd,1,69,1,1%,42,0,0%,60,1,2%,9,0,0%,1,2024
2028,49,2nd,8,395,8,2%,146,0,0%,336,7,2%,59,1,2%,8,2024
2029,50-1,2nd,1,108,1,1%,33,0,0%,82,0,0%,26,1,4%,1,2024
2031,51,2nd,6,397,6,2%,98,0,0%,356,5,1%,41,1,2%,6,2024
2032,52,2nd,4,131,4,3%,56,0,0%,126,4,3%,5,0,0%,4,2024
2033,52A-1,2nd,1,225,1,0%,37,0,0%,214,1,0%,11,0,0%,1,2024
2034,54,2nd,1,896,1,0%,192,0,0%,717,1,0%,179,0,0%,1,2024
2035,55-1,2nd,2,341,2,1%,120,0,0%,284,2,1%,57,0,0%,2,2024
2036,58-1,2nd,3,296,3,1%,79,0,0%,268,3,1%,28,0,0%,3,2024
2037,60-1,2nd,1,97,1,1%,61,0,0%,92,1,1%,5,0,0%,1,2024
2038,60-2,2nd,7,702,7,1%,147,0,0%,656,6,1%,46,1,2%,7,2024
2039,61,2nd,3,45,3,7%,33,0,0%,41,3,7%,4,0,0%,3,2024
2040,66A-1,2nd,8,961,8,1%,217,0,0%,826,5,1%,135,3,2%,8,2024
2041,66A-1,2nd,15,629,15,2%,370,0,0%,493,12,2%,136,3,2%,15,2024
2042,70-1,2nd,1,122,1,1%,79,0,0%,111,1,1%,11,0,0%,1,2024
2043,70-1,2nd,17,543,17,3%,118,0,0%,502,16,3%,41,1,2%,17,2024
2044,75-1,2nd,1,67,1,1%,10,0,0%,48,1,2%,19,0,0%,1,2024
2045,1-1,2nd,3,188,3,2%,25,0,0%,186,3,2%,2,0,0%,3,2024
2046,2-1,2nd,1,44,1,2%,31,0,0%,44,1,2%,0,0,0%,1,2024
2047,3-1,2nd,3,96,3,3%,35,0,0%,95,3,3%,1,0,0%,3,2024
2048,3-2,2nd,2,46,2,4%,46,0,0%,45,2,4%,1,0,0%,2,2024
2049,5-1,2nd,3,134,3,2%,13,0,0%,132,3,2%,2,0,0%,3,2024
2050,8-1,2nd,2,41,2,5%,33,0,0%,40,2,5%,1,0,0%,2,2024
2051,8-2,2nd,8,97,8,8%,27,0,0%,92,8,9%,5,0,0%,8,2024
2052,10A-1,2nd,1,67,1,1%,8,0,0%,62,1,2%,5,0,0%,1,2024
