"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1001,1-1,1st,60,1315,60,5%,73,0,0%,1208,55,5%,107,5,5%,60,2025
1002,11,1st,50,756,50,7%,331,0,0%,657,45,7%,99,5,5%,50,2025
1003,11,1st,25,611,25,4%,444,0,0%,499,23,5%,112,2,2%,25,2025
1004,11A,1st,50,152,50,33%,116,0,0%,135,45,33%,17,5,29%,50,2025
1005,11A,1st,25,151,25,17%,106,0,0%,131,24,18%,20,1,5%,25,2025
1006,13,1st,125,142,105,74%,62,20,32%,93,93,100%,49,12,24%,125,2025
1007,14,1st,190,139,97,70%,106,38,36%,79,78,99%,60,19,32%,135,2025
1008,14,1st,190,256,190,74%,174,0,0%,193,171,89%,63,19,30%,190,2025
1009,18,1st,100,360,100,28%,169,0,0%,290,90,31%,70,10,14%,100,2025
1010,18,1st,25,214,25,12%,186,0,0%,174,23,13%,40,2,5%,25,2025
1011,19A,1st,10,111,10,9%,65,0,0%,97,9,9%,14,1,7%,10,2025
1012,20A,1st,156,87,70,80%,105,86,82%,57,57,100%,30,13,43%,156,2025
1013,21,1st,5,400,5,1%,99,0,0%,309,4,1%,91,1,1%,5,2025
1014,22,1st,60,3313,60,2%,772,0,0%,2874,54,2%,439,6,1%,60,2025
1015,23,1st,25,220,25,11%,164,0,0%,187,23,12%,33,2,6%,25,2025
1016,25,1st,10,306,10,3%,66,0,0%,292,9,3%,14,1,7%,10,2025
1017,26,1st,157,136,88,65%,125,69,55%,76,75,99%,60,13,22%,157,2025
1018,27,1st,555,781,555,71%,0,0,0%,512,504,98%,269,51,19%,555,2025
1019,28,1st,5,290,5,2%,198,0,0%,241,5,2%,49,0,0%,5,2025
1020,30,1st,5,287,5,2%,133,0,0%,247,5,2%,40,0,0%,5,2025
1021,30A,1st,30,167,30,18%,96,0,0%,144,27,19%,23,3,13%,30,2025
1022,31,1st,30,501,30,6%,412,0,0%,450,27,6%,51,3,6%,30,2025
1023,32,1st,40,1318,40,3%,677,0,0%,1268,39,3%,50,1,2%,40,2025
1024,32A,1st,30,593,30,5%,683,0,0%,557,29,5%,36,1,3%,30,2025
1025,36,1st,5,168,5,3%,94,0,0%,145,5,3%,23,0,0%,5,2025
1026,36A,1st,5,273,5,2%,193,0,0%,199,4,2%,74,1,1%,5,2025
1027,36B,1st,5,603,5,1%,185,0,0%,521,5,1%,82,0,0%,5,2025
1028,38,1st,5,22,5,23%,18,0,0%,22,5,23%,0,0,0%,5,2025
1029,38,1st,20,45,20,44%,29,0,0%,44,20,45%,1,0,0%,20,2025
1030,39,1st,200,1038,200,19%,844,0,0%,915,179,20%,123,21,17%,200,2025
1031,40,1st,200,5482,200,4%,1731,0,0%,4731,180,4%,751,20,3%,200,2025
1032,41,1st,75,1005,75,7%,892,0,0%,891,69,8%,114,6,5%,75,2025
1033,42,1st,50,743,50,7%,770,0,0%,583,45,8%,160,5,3%,50,2025
1034,44,1st,225,5187,225,4%,1844,0,0%,4206,203,5%,981,22,2%,225,2025
1035,45,1st,75,2766,75,3%,1419,0,0%,2082,68,3%,684,7,1%,75,2025
1036,47,1st,50,453,50,11%,289,0,0%,402,45,11%,51,5,10%,50,2025
1037,47-1,1st,10,215,10,5%,169,0,0%,192,10,5%,23,0,0%,10,2025
1038,48,1st,10,252,10,4%,219,0,0%,226,10,4%,26,0,0%,10,2025
1039,49,1st,10,154,10,6%,232,0,0%,133,9,7%,21,1,5%,10,2025
1040,50-1,1st,10,542,10,2%,199,0,0%,503,9,2%,39,1,3%,10,2025
1041,52,1st,75,1030,75,7%,494,0,0%,878,68,8%,152,7,5%,75,2025
1042,54,1st,300,3513,300,9%,1538,0,0%,3179,270,8%,334,30,9%,300,2025
1043,54,1st,20,1190,20,2%,1075,0,0%,971,18,2%,219,2,1%,20,2025
1044,55,1st,25,664,25,4%,338,0,0%,559,23,4%,105,2,2%,25,2025
1045,55,1st,320,2319,320,14%,1134,0,0%,2011,292,15%,308,28,9%,320,2025
1046,57,1st,50,428,50,12%,237,0,0%,350,45,13%,78,5,6%,50,2025
1047,57,1st,10,308,10,3%,192,0,0%,238,9,4%,70,1,1%,10,2025
1048,58-1,1st,10,845,10,1%,415,0,0%,812,9,1%,33,1,3%,10,2025
1049,60-1,1st,40,3235,40,1%,749,0,0%,3072,40,1%,163,0,0%,40,2025
1050,62,1st,20,359,20,6%,389,0,0%,340,19,6%,19,1,5%,20,2025
1051,66,1st,10,299,10,3%,260,0,0%,269,9,3%,30,1,3%,10,2025
1052,66A,1st,5,181,5,3%,217,0,0%,163,5,3%,18,0,0%,5,2025
1053,67,1st,40,1189,40,3%,341,0,0%,1089,36,3%,100,4,4%,40,2025
1054,69,1st,10,617,10,2%,440,0,0%,599,9,2%,18,1,6%,10,2025
1055,70,1st,5,517,5,1%,294,0,0%,498,5,1%,19,0,0%,5,2025
1056,70,1st,145,1495,145,10%,343,0,0%,1403,137,10%,92,8,9%,145,2025
1057,73,1st,2252,2624,2252,86%,0,0,0%,2019,2012,100%,605,240,40%,2252,2025
1058,73,1st,40,219,40,18%,357,0,0%,178,36,20%,41,4,10%,40,2025
1059,73,1st,5,442,5,1%,192,0,0%,376,5,1%,66,0,0%,5,2025
1060,78,1st,175,946,175,18%,158,0,0%,740,158,21%,206,17,8%,175,2025
1061,44,1st,125,545,125,23%,585,0,0%,534,122,23%,11,3,27%,125,2025
1062,55,1st,100,206,100,49%,256,0,0%,203,98,48%,3,2,67%,100,2025
1063,60-1,1st,300,168,168,100%,410,132,32%,166,166,100%,2,2,100%,300,2025
1064,10A,1st,50,78,50,64%,18,0,0%,67,45,67%,11,5,45%,50,2025
1065,39-1,1st,2000,2950,2000,68%,763,0,0%,2702,1832,68%,248,168,68%,2000,2025
1066,60-2,1st,300,1685,300,18%,1031,0,0%,1606,288,18%,79,12,15%,300,2025
1067,62,1st,100,237,100,42%,234,0,0%,229,96,42%,8,4,50%,100,2025
1068,63A,1st,50,214,50,23%,137,0,0%,210,50,24%,4,0,0%,50,2025
1069,11A,1st,75,5,5,100%,4,3,75%,5,5,100%,0,0,0%,8,2025
1070,21-1,1st,10,36,10,28%,5,0,0%,26,9,35%,10,1,10%,10,2025
1071,22,1st,25,177,25,14%,56,0,0%,148,23,16%,29,2,7%,25,2025
1072,39-2,1st,60,147,60,41%,70,0,0%,134,54,40%,13,6,46%,60,2025
1073,40,1st,50,243,50,21%,88,0,0%,172,45,26%,71,5,7%,50,2025
1074,41-2,1st,25,33,25,76%,29,0,0%,23,23,100%,10,2,20%,25,2025
1075,43-1,1st,50,87,50,57%,41,0,0%,71,45,63%,16,5,31%,50,2025
1076,44,1st,50,380,50,13%,99,0,0%,252,45,18%,128,5,4%,50,2025
1077,45,1st,10,109,10,9%,64,0,0%,50,9,18%,59,1,2%,10,2025
1078,52,1st,10,35,10,29%,30,0,0%,26,9,35%,9,1,11%,10,2025
1079,53-1,1st,466,216,216,100%,289,250,87%,208,208,100%,8,8,100%,466,2025
1080,54,1st,570,280,256,91%,390,314,81%,199,197,99%,81,59,73%,570,2025
1081,68A,1st,346,242,242,100%,117,104,89%,235,235,100%,7,7,100%,346,2025
1082,72-1,1st,262,262,262,100%,0,0,0%,208,208,100%,54,54,100%,262,2025
1083,21A,1st,5,99,5,5%,32,0,0%,82,4,5%,17,1,6%,5,2025
1084,22,1st,15,84,15,18%,49,0,0%,76,14,18%,8,1,12%,15,2025
1085,29-2,1st,63,150,63,42%,51,0,0%,117,57,49%,33,6,18%,63,2025
1086,30A,1st,5,41,5,12%,28,0,0%,32,4,12%,9,1,11%,5,2025
1087,33,1st,150,427,150,35%,98,0,0%,359,135,38%,68,15,22%,150,2025
1088,43,1st,125,157,125,80%,68,0,0%,137,113,82%,20,12,60%,125,2025
1089,45,1st,40,215,40,19%,101,0,0%,138,36,26%,77,4,5%,40,2025
1090,51,1st,50,355,50,14%,133,0,0%,311,45,14%,44,5,11%,50,2025
1091,52,1st,25,203,25,12%,93,0,0%,158,23,15%,45,2,4%,25,2025
1092,52A,1st,75,130,75,58%,125,0,0%,117,68,58%,13,7,54%,75,2025
