"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2001,11,1st,40,764,40,5%,170,0,0%,676,36,5%,88,4,5%,40,2025
2002,18,1st,80,792,80,10%,306,0,0%,613,72,12%,179,8,4%,80,2025
2003,19A,1st,10,90,10,11%,54,0,0%,72,9,12%,18,1,6%,10,2025
2004,23,1st,10,268,10,4%,125,0,0%,233,9,4%,35,1,3%,10,2025
2005,29,1st,180,1083,180,17%,353,0,0%,811,162,20%,272,18,7%,180,2025
2006,30,1st,150,990,150,15%,382,0,0%,762,135,18%,228,15,7%,150,2025
2007,30-1,1st,30,783,30,4%,195,0,0%,645,27,4%,138,3,2%,30,2025
2008,31,1st,75,615,75,12%,324,0,0%,548,69,13%,67,6,9%,75,2025
2009,31,1st,75,426,75,18%,378,0,0%,381,69,18%,45,6,13%,75,2025
2010,36A-1,1st,60,423,60,14%,178,0,0%,318,54,17%,105,6,6%,60,2025
2011,36A-2,1st,120,972,120,12%,256,0,0%,737,108,15%,235,12,5%,120,2025
2012,37,1st,100,650,100,15%,239,0,0%,519,90,17%,131,10,8%,100,2025
2013,37A,1st,100,489,100,20%,299,0,0%,373,90,24%,116,10,9%,100,2025
2014,40,1st,60,2405,60,2%,848,0,0%,2043,54,3%,362,6,2%,60,2025
2015,40-1,1st,5,967,5,1%,456,0,0%,780,4,1%,187,1,1%,5,2025
2016,41,1st,30,347,30,9%,289,0,0%,276,27,10%,71,3,4%,30,2025
2017,41,1st,30,504,30,6%,394,0,0%,424,27,6%,80,3,4%,30,2025
2018,42,1st,15,776,15,2%,325,0,0%,634,14,2%,142,1,1%,15,2025
2019,43,1st,20,412,20,5%,278,0,0%,340,18,5%,72,2,3%,20,2025
2020,43,1st,125,1179,125,11%,594,0,0%,946,113,12%,233,12,5%,125,2025
2021,44,1st,20,937,20,2%,524,0,0%,739,18,2%,198,2,1%,20,2025
2022,44,1st,200,2109,200,9%,1120,0,0%,1831,180,10%,278,20,7%,200,2025
2023,45,1st,125,1260,125,10%,562,0,0%,1072,113,11%,188,12,6%,125,2025
2024,46-1,1st,10,269,10,4%,136,0,0%,214,9,4%,55,1,2%,10,2025
2025,46,1st,40,563,40,7%,310,0,0%,442,36,8%,121,4,3%,40,2025
2026,48,1st,20,301,20,7%,137,0,0%,227,18,8%,74,2,3%,20,2025
2027,48,1st,150,697,150,22%,491,0,0%,570,134,24%,127,16,13%,150,2025
2028,49,1st,20,381,20,5%,252,0,0%,299,18,6%,82,2,2%,20,2025
2029,49,1st,175,1031,175,17%,618,0,0%,854,157,18%,177,18,10%,175,2025
2030,50-1,1st,60,868,60,7%,357,0,0%,736,54,7%,132,6,5%,60,2025
2031,51,1st,10,337,10,3%,202,0,0%,313,10,3%,24,0,0%,10,2025
2032,51,1st,125,972,125,13%,308,0,0%,813,115,14%,159,10,6%,125,2025
2033,52,1st,50,347,50,14%,241,0,0%,311,47,15%,36,3,8%,50,2025
2034,52A-1,1st,100,1613,100,6%,456,0,0%,1547,95,6%,66,5,8%,100,2025
2035,54,1st,20,3012,20,1%,1224,0,0%,2355,18,1%,657,2,0%,20,2025
2036,55-1,1st,50,1361,50,4%,539,0,0%,1113,45,4%,248,5,2%,50,2025
