"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1001,1-1,2nd,4,697,4,1%,37,0,0%,655,3,0%,42,1,2%,4,2025
1003,11,2nd,1,281,1,0%,63,0,0%,233,1,0%,48,0,0%,1,2025
1004,11A,2nd,3,67,3,4%,36,0,0%,61,3,5%,6,0,0%,3,2025
1005,11A,2nd,1,45,1,2%,45,0,0%,41,1,2%,4,0,0%,1,2025
1006,13,2nd,20,69,20,29%,21,0,0%,40,10,25%,29,10,34%,20,2025
1007,14,2nd,70,87,70,80%,56,0,0%,68,55,81%,19,15,79%,70,2025
1008,14,2nd,18,133,18,14%,86,0,0%,111,15,14%,22,3,14%,18,2025
1009,18,2nd,5,209,5,2%,79,0,0%,179,3,2%,30,2,7%,5,2025
1011,19A,2nd,1,30,1,3%,11,0,0%,25,1,4%,5,0,0%,1,2025
1015,23,2nd,5,215,5,2%,57,0,0%,192,4,2%,23,1,4%,5,2025
1021,30A,2nd,1,97,1,1%,22,0,0%,84,0,0%,13,1,8%,1,2025
1022,31,2nd,3,388,3,1%,68,0,0%,359,3,1%,29,0,0%,3,2025
1024,32A,2nd,1,268,1,0%,74,0,0%,258,1,0%,10,0,0%,1,2025
1030,39,2nd,15,398,15,4%,225,0,0%,372,12,3%,26,3,12%,15,2025
1031,40,2nd,4,1971,4,0%,367,0,0%,1739,4,0%,232,0,0%,4,2025
1032,41,2nd,4,451,4,1%,295,0,0%,416,4,1%,35,0,0%,4,2025
1033,42,2nd,3,256,3,1%,212,0,0%,215,2,1%,41,1,2%,3,2025
1034,44,2nd,2,1502,2,0%,361,0,0%,1256,2,0%,246,0,0%,2,2025
1035,45,2nd,1,502,1,0%,288,0,0%,411,0,0%,91,1,1%,1,2025
1036,47,2nd,3,104,3,3%,81,0,0%,89,3,3%,15,0,0%,3,2025
1037,47-1,2nd,2,231,2,1%,59,0,0%,197,2,1%,34,0,0%,2,2025
1042,54,2nd,11,1393,11,1%,304,0,0%,1239,11,1%,154,0,0%,11,2025
1044,55,2nd,1,144,1,1%,83,0,0%,125,1,1%,19,0,0%,1,2025
1045,55,2nd,6,509,6,1%,254,0,0%,430,3,1%,79,3,4%,6,2025
1049,60-1,2nd,1,715,1,0%,118,0,0%,668,0,0%,47,1,2%,1,2025
1051,66,2nd,1,153,1,1%,69,0,0%,142,1,1%,11,0,0%,1,2025
1053,67,2nd,1,324,1,0%,77,0,0%,298,1,0%,26,0,0%,1,2025
1054,69,2nd,1,287,1,0%,100,0,0%,273,1,0%,14,0,0%,1,2025
1056,70,2nd,7,712,7,1%,56,0,0%,679,7,1%,33,0,0%,7,2025
1058,73,2nd,1,143,1,1%,24,0,0%,86,1,1%,57,0,0%,1,2025
1060,78,2nd,6,371,6,2%,58,0,0%,296,4,1%,75,2,3%,6,2025
1061,44,2nd,12,191,12,6%,92,0,0%,186,11,6%,5,1,20%,12,2025
1062,55,2nd,6,43,6,14%,30,0,0%,42,6,14%,1,0,0%,6,2025
1063,60-1,2nd,33,69,33,48%,48,0,0%,68,33,49%,1,0,0%,33,2025
1064,10A,2nd,9,27,9,33%,6,0,0%,20,7,35%,7,2,29%,9,2025
1065,39-1,2nd,142,677,142,21%,133,0,0%,626,133,21%,51,9,18%,142,2025
1066,60-2,2nd,9,583,9,2%,159,0,0%,568,9,2%,15,0,0%,9,2025
1067,62,2nd,6,135,6,4%,58,0,0%,130,6,5%,5,0,0%,6,2025
1068,63A,2nd,3,87,3,3%,24,0,0%,85,3,4%,2,0,0%,3,2025
1069,11A,2nd,70,2,2,100%,0,0,0%,2,2,100%,0,0,0%,2,2025
1070,21-1,2nd,1,12,1,8%,1,0,0%,12,1,8%,0,0,0%,1,2025
1071,22,2nd,1,51,1,2%,7,0,0%,48,1,2%,3,0,0%,1,2025
1072,39-2,2nd,6,90,6,7%,16,0,0%,82,6,7%,8,0,0%,6,2025
