"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1001,1-1,1st,60,1229,60,5%,74,0,0%,1158,55,5%,71,5,7%,60,2024
1002,11,1st,50,714,50,7%,313,0,0%,601,45,7%,113,5,4%,50,2024
1003,11,1st,25,641,25,4%,374,0,0%,517,22,4%,124,3,2%,25,2024
1004,11A,1st,50,138,50,36%,98,0,0%,121,45,37%,17,5,29%,50,2024
1005,11A,1st,25,136,25,18%,104,0,0%,109,23,21%,27,2,7%,25,2024
1006,13,1st,125,126,91,72%,81,34,42%,81,79,98%,45,12,27%,125,2024
1007,14,1st,190,126,99,79%,132,36,27%,80,80,100%,46,19,41%,135,2024
1008,14,1st,190,276,190,69%,149,0,0%,186,171,92%,90,19,21%,190,2024
1009,18,1st,55,306,55,18%,136,0,0%,240,50,21%,66,5,8%,55,2024
1010,18,1st,15,199,15,8%,146,0,0%,168,14,8%,31,1,3%,15,2024
1011,19A,1st,10,117,10,9%,46,0,0%,103,9,9%,14,1,7%,10,2024
1012,20A,1st,172,93,80,86%,122,92,75%,67,67,100%,26,13,50%,172,2024
1013,21,1st,5,334,5,1%,72,0,0%,274,4,1%,60,1,2%,5,2024
1014,22,1st,60,2851,60,2%,664,0,0%,2489,54,2%,362,6,2%,60,2024
1015,23,1st,25,187,25,13%,126,0,0%,166,23,14%,21,2,10%,25,2024
1016,25,1st,10,251,10,4%,60,0,0%,241,10,4%,10,0,0%,10,2024
1017,26,1st,144,147,85,58%,139,59,42%,72,72,100%,75,13,17%,144,2024
1018,27,1st,518,739,518,70%,0,0,0%,475,467,98%,264,51,19%,518,2024
1019,28,1st,5,276,5,2%,163,0,0%,237,5,2%,39,0,0%,5,2024
1020,30,1st,5,274,5,2%,117,0,0%,244,5,2%,30,0,0%,5,2024
1021,30A,1st,30,176,30,17%,73,0,0%,154,27,18%,22,3,14%,30,2024
1022,31,1st,30,475,30,6%,379,0,0%,431,29,7%,44,1,2%,30,2024
1023,32,1st,40,1207,40,3%,560,0,0%,1176,37,3%,31,3,10%,40,2024
1024,32A,1st,30,626,30,5%,671,0,0%,590,27,5%,36,3,8%,30,2024
1025,36,1st,5,166,5,3%,76,0,0%,144,4,3%,22,1,5%,5,2024
1026,36A,1st,5,279,5,2%,158,0,0%,192,4,2%,87,1,1%,5,2024
1027,36B,1st,5,535,5,1%,176,0,0%,440,4,1%,95,1,1%,5,2024
1028,38-1,1st,5,30,5,17%,26,0,0%,30,5,17%,0,0,0%,5,2024
1029,38-2,1st,20,46,20,43%,35,0,0%,44,20,45%,2,0,0%,20,2024
1030,39,1st,200,1013,200,20%,938,0,0%,899,184,20%,114,16,14%,200,2024
1031,40,1st,200,5294,200,4%,1572,0,0%,4501,180,4%,793,20,3%,200,2024
1032,41,1st,100,1081,100,9%,1010,0,0%,930,90,10%,151,10,7%,100,2024
1033,42,1st,75,700,75,11%,737,0,0%,545,69,13%,155,6,4%,75,2024
1034,44,1st,225,5090,225,4%,1662,0,0%,4264,203,5%,826,22,3%,225,2024
1035,45,1st,75,2732,75,3%,1439,0,0%,2004,68,3%,728,7,1%,75,2024
1036,47,1st,50,413,50,12%,283,0,0%,368,47,13%,45,3,7%,50,2024
1037,47-1,1st,10,227,10,4%,162,0,0%,185,10,5%,42,0,0%,10,2024
1038,48,1st,10,251,10,4%,217,0,0%,226,10,4%,25,0,0%,10,2024
1039,49,1st,10,158,10,6%,206,0,0%,143,9,6%,15,1,7%,10,2024
1040,50-1,1st,10,545,10,2%,199,0,0%,522,9,2%,23,1,4%,10,2024
1041,52,1st,75,961,75,8%,476,0,0%,803,68,8%,158,7,4%,75,2024
1042,54,1st,300,3319,300,9%,1382,0,0%,3009,270,9%,310,30,10%,300,2024
1043,54,1st,20,1032,20,2%,1056,0,0%,863,18,2%,169,2,1%,20,2024
1044,55,1st,25,695,25,4%,346,0,0%,569,23,4%,126,2,2%,25,2024
1045,55,1st,320,2312,320,14%,1117,0,0%,1978,288,15%,334,32,10%,320,2024
1046,57,1st,50,376,50,13%,211,0,0%,306,45,15%,70,5,7%,50,2024
1047,57,1st,10,256,10,4%,175,0,0%,188,9,5%,68,1,1%,10,2024
1048,58-1,1st,10,693,10,1%,332,0,0%,669,10,1%,24,0,0%,10,2024
1049,60-1,1st,40,3106,40,1%,741,0,0%,2992,38,1%,114,2,2%,40,2024
1050,62,1st,20,418,20,5%,355,0,0%,398,20,5%,20,0,0%,20,2024
1051,66,1st,10,291,10,3%,253,0,0%,269,9,3%,22,1,5%,10,2024
1052,66A,1st,5,142,5,4%,157,0,0%,122,5,4%,20,0,0%,5,2024
1053,67,1st,40,1099,40,4%,395,0,0%,1005,38,4%,94,2,2%,40,2024
1054,69,1st,10,612,10,2%,395,0,0%,598,10,2%,14,0,0%,10,2024
1055,70,1st,5,516,5,1%,371,0,0%,486,5,1%,30,0,0%,5,2024
1056,70,1st,170,1638,170,10%,336,0,0%,1567,159,10%,71,11,15%,170,2024
1057,73,1st,1876,2056,1876,91%,0,0,0%,1637,1636,100%,419,240,57%,1876,2024
1058,73,1st,40,193,40,21%,302,0,0%,164,36,22%,29,4,14%,40,2024
1059,73,1st,5,430,5,1%,215,0,0%,391,4,1%,39,1,3%,5,2024
1060,78,1st,200,837,200,24%,163,0,0%,679,180,27%,158,20,13%,200,2024
1061,44,1st,250,508,250,49%,591,0,0%,501,246,49%,7,4,57%,250,2024
1062,45,1st,250,667,250,37%,505,0,0%,663,249,38%,4,1,25%,250,2024
1063,52,1st,100,180,100,56%,179,0,0%,179,99,55%,1,1,100%,100,2024
1064,55,1st,100,199,100,50%,187,0,0%,196,98,50%,3,2,67%,100,2024
1065,8A,1st,50,25,25,100%,28,20,71%,24,24,100%,1,1,100%,45,2024
1066,10A,1st,50,124,50,40%,27,0,0%,105,45,43%,19,5,26%,50,2024
