"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2002,18,2nd,3,306,3,1%,71,0,0%,246,2,1%,60,1,2%,3,2025
2003,19A,2nd,2,79,2,3%,24,0,0%,68,2,3%,11,0,0%,2,2025
2005,29,2nd,8,592,8,1%,111,0,0%,470,7,1%,122,1,1%,8,2025
2006,30,2nd,3,326,3,1%,118,0,0%,254,3,1%,72,0,0%,3,2025
2007,30-1,2nd,1,241,1,0%,46,0,0%,204,0,0%,37,1,3%,1,2025
2008,31,2nd,4,362,4,1%,74,0,0%,314,4,1%,48,0,0%,4,2025
2009,31,2nd,1,75,1,1%,104,0,0%,74,1,1%,1,0,0%,1,2025
2010,36A-1,2nd,4,170,4,2%,59,0,0%,118,3,3%,52,1,2%,4,2025
2011,36A-2,2nd,2,252,2,1%,67,0,0%,207,1,0%,45,1,2%,2,2025
2012,37,2nd,3,208,3,1%,64,0,0%,188,3,2%,20,0,0%,3,2025
2013,37A,2nd,6,237,6,3%,102,0,0%,201,6,3%,36,0,0%,6,2025
2020,43,2nd,7,674,7,1%,222,0,0%,545,5,1%,129,2,2%,7,2025
2022,44,2nd,10,1498,10,1%,415,0,0%,1346,9,1%,152,1,1%,10,2025
2023,45,2nd,4,444,4,1%,208,0,0%,393,3,1%,51,1,2%,4,2025
2024,46-1,2nd,1,114,1,1%,43,0,0%,90,1,1%,24,0,0%,1,2025
2025,46,2nd,1,176,1,1%,66,0,0%,146,1,1%,30,0,0%,1,2025
2027,48,2nd,4,349,4,1%,119,0,0%,294,3,1%,55,1,2%,4,2025
2033,52,2nd,4,163,4,2%,116,0,0%,146,4,3%,17,0,0%,4,2025
2034,52A-1,2nd,3,530,3,1%,98,0,0%,497,3,1%,33,0,0%,3,2025
2035,54,2nd,1,1017,1,0%,234,0,0%,805,1,0%,212,0,0%,1,2025
2036,55-1,2nd,1,248,1,0%,87,0,0%,190,1,1%,58,0,0%,1,2025
2038,60-1,2nd,5,485,5,1%,91,0,0%,453,4,1%,32,1,3%,5,2025
2039,61,2nd,6,100,6,6%,93,0,0%,88,6,7%,12,0,0%,6,2025
2040,66-1,2nd,3,207,3,1%,76,0,0%,195,3,2%,12,0,0%,3,2025
2042,66A-1,2nd,11,956,11,1%,123,0,0%,770,11,1%,186,0,0%,11,2025
2044,70-1,2nd,8,607,8,1%,96,0,0%,516,8,2%,91,0,0%,8,2025
2046,1-1,2nd,7,133,7,5%,40,0,0%,129,7,5%,4,0,0%,7,2025
2047,3-1,2nd,4,84,4,5%,32,0,0%,84,4,5%,0,0,0%,4,2025
2048,3-2,2nd,1,16,1,6%,26,0,0%,15,1,7%,1,0,0%,1,2025
2049,5-1,2nd,9,177,9,5%,32,0,0%,167,9,5%,10,0,0%,9,2025
2050,8-1,2nd,1,40,1,3%,26,0,0%,40,1,3%,0,0,0%,1,2025
2051,8-2,2nd,8,102,8,8%,22,0,0%,101,8,8%,1,0,0%,8,2025
2053,11A,2nd,18,33,18,55%,12,0,0%,33,18,55%,0,0,0%,18,2025
2054,13,2nd,124,30,30,100%,82,75,91%,19,19,100%,11,11,100%,105,2025
2055,16-1,2nd,4,18,4,22%,0,0,0%,18,4,22%,0,0,0%,4,2025
