License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns
2024,215,R,7,17,3,5,5,0,0
2024,215,SUM,10,28,3,5,5,0,0
2024,291,R,2,7,4,1,1,0,0
2024,291,SUM,2,7,4,1,1,0,0
2024,300,N,29,105,4,5,2,3,0
2024,300,R,207,790,4,77,60,15,2
2024,300,SUM,236,895,4,81,61,18,2
2024,301,N,2,5,3,0,0,0,0
2024,301,R,24,95,4,8,8,0,0
2024,301,SUM,25,100,4,8,8,0,0
2024,310,N,10,33,3,9,8,1,0
2024,310,R,255,973,4,139,59,72,8
2024,310,SUM,265,1006,4,148,67,73,8
2024,311,N,3,53,20,0,0,0,0
2024,311,R,108,464,4,22,17,4,0
2024,311,SUM,110,517,5,22,17,4,0
2024,313,R,8,27,3,5,5,0,0
2024,313,SUM,8,27,3,5,5,0,0
2024,317,N,2,14,6,3,3,0,0
2024,317,R,66,271,4,40,29,9,2
2024,317,SUM,68,284,4,43,32,9,2
2024,318,N,4,17,4,1,1,0,0
2024,318,R,96,497,5,23,9,13,0
2024,318,SUM,100,514,5,24,10,13,0
2024,319,N,0,0,0,0,0,0,0
2024,319,R,76,516,7,18,9,9,0
2024,319,SUM,76,516,7,18,9,9,0
2024,320,N,8,19,2,6,6,0,0
2024,320,R,130,626,5,69,44,24,2
2024,320,SUM,138,644,5,75,50,24,2
2024,322,N,45,176,4,34,28,6,0
2024,322,R,708,2925,4,399,213,176,10
2024,322,SUM,753,3101,4,433,241,182,10
2024,329,N,13,61,5,10,8,1,0
2024,329,R,99,331,3,42,33,9,0
2024,329,SUM,111,391,4,52,41,10,0
2024,338,N,9,37,4,4,4,0,0
2024,338,R,131,685,5,52,47,5,0
2024,338,SUM,139,721,5,56,51,5,0
2024,339,N,8,34,5,5,2,3,0
2024,339,R,60,218,4,32,28,4,0
2024,339,SUM,67,253,4,37,30,7,0
2024,340,N,36,105,3,33,21,12,0
2024,340,R,381,1893,5,302,153,139,10
2024,340,SUM,417,1998,5,335,174,152,10
2024,350,N,4,12,3,5,3,2,0
2024,350,R,81,408,5,61,30,32,0
2024,350,SUM,85,420,5,66,33,34,0
2024,360,N,33,90,3,25,19,5,0
2024,360,R,300,1320,4,155,107,48,0
2024,360,SUM,333,1411,4,180,126,54,0
2024,370,N,3,16,6,6,3,3,0
2024,370,R,88,474,5,63,46,17,0
2024,370,SUM,90,490,5,69,49,20,0
2024,371,N,1,7,7,0,0,0,0
2024,371,R,65,388,6,23,15,8,0
2024,371,SUM,66,395,6,23,15,8,0
2024,380,N,2,5,3,2,2,0,0
2024,380,R,105,726,7,28,20,8,0
2024,380,SUM,107,731,7,30,22,8,0
2024,381,N,0,0,0,0,0,0,0
2024,381,R,18,197,11,6,3,3,0
2024,381,SUM,18,197,11,6,3,3,0
2024,388,N,0,0,0,0,0,0,0
2024,388,R,19,137,7,8,6,2,0
2024,388,SUM,19,137,7,8,6,2,0
2024,390,N,2,14,7,0,0,0,0
2024,390,R,156,1058,7,58,42,16,0
2024,390,SUM,158,1072,7,58,42,16,0
2024,3XX,N,0,0,0,0,0,0,0
2024,3XX,R,6,31,5,0,0,0,0
2024,3XX,SUM,6,31,5,0,0,0,0
2024,401,N,10,47,5,10,10,0,0
2024,401,R,293,1198,4,158,126,33,0
2024,401,SUM,304,1245,4,168,135,33,0
2024,404,N,25,93,4,20,19,1,0
2024,404,R,405,1648,4,258,188,68,2
2024,404,SUM,430,1741,4,278,207,69,2
2024,420,N,22,94,4,14,14,0,0
2024,420,R,157,597,4,89,67,22,0
2024,420,SUM,178,692,4,103,81,22,0
2024,430,N,20,72,4,12,10,2,0
2024,430,R,194,993,5,136,103,32,2
2024,430,SUM,214,1065,5,148,112,34,2
2024,440,N,15,63,4,5,3,1,0
2024,440,R,161,714,4,139,67,69,2
2024,440,SUM,176,777,4,143,71,70,2
2024,441,N,1,21,21,1,1,0,0
2024,441,R,28,134,5,9,6,3,0
2024,441,SUM,29,155,5,10,7,3,0
2024,444,N,4,14,4,4,3,1,0
2024,444,R,210,923,4,98,63,35,0
2024,444,SUM,214,937,4,102,66,36,0
2024,450,N,8,50,7,4,2,2,0
2024,450,R,123,404,3,68,40,26,2
2024,450,SUM,130,454,4,72,42,28,2
2024,455,N,0,0,0,0,0,0,0
2024,455,R,3,12,4,0,0,0,0
2024,455,SUM,3,12,4,0,0,0,0
2024,471,N,16,45,3,16,12,4,0
2024,471,R,417,1872,5,256,152,104,0
2024,471,SUM,433,1917,4,273,164,108,0
2024,480,N,16,33,2,11,11,0,0
2024,480,R,157,862,6,107,89,18,0
2024,480,SUM,173,896,5,118,100,18,0
2024,481,N,16,68,4,9,9,0,0
2024,481,R,182,789,4,91,80,11,0
2024,481,SUM,198,857,4,101,89,11,0
2024,490,N,19,83,4,13,8,6,0
2024,490,R,237,747,3,143,84,58,2
2024,490,SUM,256,831,3,156,91,64,2
2024,4XX,N,0,0,0,0,0,0,0
2024,4XX,R,8,55,7,0,0,0,0
2024,4XX,SUM,8,55,7,0,0,0,0
2024,506,N,20,51,3,18,16,2,0
2024,506,R,202,636,3,118,99,19,0
2024,506,SUM,222,686,3,136,115,21,0
2024,516,N,64,228,4,51,46,5,0
2024,516,R,636,2482,4,374,289,75,9
2024,516,SUM,700,2709,4,424,335,80,9
