License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2023,100,all_deer,N,316,1924,6,185,116,68,0,0,185,49,67
2023,100,all_deer,R,2530,21632,9,1019,826,190,3,26,986,351,475
2023,100,all_deer,SUM,2846,23556,8,1204,942,258,3,26,1171,400,543
2023,100,md,N,316,1924,6,15,15,0,0,0,15,3,12
2023,100,md,R,2530,21632,9,154,147,7,0,3,151,81,67
2023,100,md,SUM,2846,23556,8,169,162,7,0,3,166,84,79
2023,100,wt,N,316,1924,6,170,101,68,0,0,170,46,55
2023,100,wt,R,2530,21632,9,865,678,183,3,23,836,270,409
2023,100,wt,SUM,2846,23556,8,1035,780,252,3,23,1005,316,464
2023,101,all_deer,N,125,853,7,50,30,20,0,2,45,12,18
2023,101,all_deer,R,2830,20981,7,1231,955,277,0,39,1167,406,549
2023,101,all_deer,SUM,2955,21834,7,1281,984,297,0,41,1212,418,567
2023,101,md,N,125,853,7,3,3,0,0,0,3,3,0
2023,101,md,R,2830,20981,7,103,99,3,0,0,103,29,70
2023,101,md,SUM,2955,21834,7,106,102,3,0,0,106,32,70
2023,101,wt,N,125,853,7,47,27,20,0,2,42,9,18
2023,101,wt,R,2830,20981,7,1129,855,273,0,39,1065,377,479
2023,101,wt,SUM,2955,21834,7,1176,882,294,0,41,1107,386,496
2023,103,all_deer,N,222,1233,6,112,91,21,0,4,108,35,53
2023,103,all_deer,R,5170,38593,8,1865,1523,333,9,81,1774,508,1009
2023,103,all_deer,SUM,5391,39826,7,1977,1614,354,9,85,1883,543,1062
2023,103,md,N,222,1233,6,22,22,0,0,0,22,6,16
2023,103,md,R,5170,38593,8,185,180,6,0,17,168,78,102
2023,103,md,SUM,5391,39826,7,207,201,6,0,17,190,84,118
2023,103,wt,N,222,1233,6,90,69,21,0,4,87,29,38
2023,103,wt,R,5170,38593,8,1680,1344,327,9,64,1606,431,907
2023,103,wt,SUM,5391,39826,7,1771,1413,348,9,68,1693,459,944
2023,104,all_deer,N,101,502,5,65,40,22,4,0,65,9,31
2023,104,all_deer,R,1163,9090,8,444,303,141,0,6,429,110,193
2023,104,all_deer,SUM,1264,9592,8,509,343,162,4,6,494,119,224
2023,104,md,N,101,502,5,16,12,4,0,0,16,3,9
2023,104,md,R,1163,9090,8,44,44,0,0,0,44,14,30
2023,104,md,SUM,1264,9592,8,59,56,4,0,0,59,17,39
2023,104,wt,N,101,502,5,50,28,18,4,0,50,6,22
2023,104,wt,R,1163,9090,8,400,260,141,0,6,385,97,163
2023,104,wt,SUM,1264,9592,8,450,288,159,4,6,435,103,185
2023,110,all_deer,N,31,184,6,15,15,0,0,0,15,6,9
2023,110,all_deer,R,1329,7791,6,370,330,37,3,7,353,118,212
2023,110,all_deer,SUM,1360,7975,6,385,345,37,3,7,368,124,221
2023,110,md,N,31,184,6,0,0,0,0,0,0,0,0
2023,110,md,R,1329,7791,6,40,40,0,0,0,40,14,27
