License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2024,100,N,83,604,7,3,3,0,0,0,3,0,3,0
2024,100,R,1453,12705,9,81,49,33,0,15,63,0,27,21
2024,100,SUM,1536,13309,9,84,51,33,0,15,66,0,30,21
2024,101,N,53,390,7,19,15,4,0,5,14,0,10,5
2024,101,R,1766,14054,8,241,185,56,0,3,226,0,158,28
2024,101,SUM,1819,14444,8,260,201,60,0,8,240,0,168,33
2024,103,N,75,575,8,5,5,0,0,0,5,0,3,3
2024,103,R,3079,24869,8,130,88,42,0,27,103,0,64,24
2024,103,SUM,3153,25444,8,135,93,42,0,27,108,0,66,27
2024,104,N,53,376,7,4,0,4,0,0,4,0,0,0
2024,104,R,1039,9508,9,75,61,14,0,21,54,0,30,30
2024,104,SUM,1092,9884,9,78,61,18,0,21,57,0,30,30
2024,110,N,31,206,7,13,13,0,0,0,13,0,5,8
2024,110,R,777,5893,8,39,36,3,0,3,36,0,24,12
2024,110,SUM,808,6099,8,52,49,3,0,3,49,0,29,20
2024,120,N,22,127,6,0,0,0,0,0,0,0,0,0
2024,120,R,1145,8291,7,49,42,6,0,12,36,0,24,18
2024,120,SUM,1167,8418,7,49,42,6,0,12,36,0,24,18
2024,121,N,337,2235,7,48,44,4,0,23,25,0,31,13
2024,121,R,1705,15449,9,198,111,84,3,9,189,0,80,30
2024,121,SUM,2041,17685,9,246,154,88,3,32,213,0,111,43
2024,122,N,133,767,6,23,23,0,0,10,13,0,21,3
2024,122,R,1551,13616,9,80,52,29,0,15,65,0,27,24
2024,122,SUM,1684,14383,9,104,75,29,0,25,78,0,48,27
2024,123,N,34,175,5,5,5,0,0,3,3,0,3,3
2024,123,R,488,4310,9,35,33,2,0,9,20,0,24,9
2024,123,SUM,521,4485,9,40,39,2,0,12,23,0,27,12
2024,124,N,31,165,5,5,5,0,0,3,3,0,3,3
2024,124,R,295,2417,8,36,18,17,0,0,34,3,15,0
2024,124,SUM,326,2582,8,41,23,17,0,3,36,3,18,3
2024,130,N,34,178,5,0,0,0,0,0,0,0,0,0
2024,130,R,860,6247,7,33,33,0,0,9,24,0,21,12
2024,130,SUM,893,6425,7,33,33,0,0,9,24,0,21,12
2024,140,N,26,173,7,0,0,0,0,0,0,0,0,0
2024,140,R,412,3870,9,12,12,0,0,6,6,0,9,3
2024,140,SUM,438,4043,9,12,12,0,0,6,6,0,9,3
2024,141,N,16,101,7,3,3,0,0,0,3,0,0,3
2024,141,R,82,563,7,6,6,0,0,0,6,0,0,6
2024,141,SUM,97,664,7,9,9,0,0,0,9,0,0,9
2024,150,N,159,1065,7,39,36,3,0,3,36,0,15,21
2024,150,R,224,1925,9,64,61,3,0,6,58,0,36,24
2024,150,SUM,382,2989,8,102,97,6,0,9,94,0,52,45
2024,170,N,28,178,6,10,8,3,0,0,10,0,5,3
2024,170,R,559,4372,8,45,15,30,0,3,33,0,12,3
2024,170,SUM,588,4550,8,56,23,33,0,3,43,0,17,6
2024,1XX,N,25,184,8,1,0,0,1,0,1,0,0,0
2024,1XX,SUM,115,1089,9,1,0,0,1,0,1,0,0,0
