License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Billies,Nannies,Kids
2024,100,R,2,12,6,2,1,1,0
2024,100,SUM,2,12,6,2,1,1,0
2024,101,R,1,4,4,1,1,0,0
2024,101,SUM,1,4,4,1,1,0,0
2024,133,R,1,0,0,1,1,0,0
2024,133,SUM,1,0,0,1,1,0,0
2024,140,R,1,6,6,0,0,0,0
2024,140,SUM,1,6,6,0,0,0,0
2024,142,R,1,5,5,0,0,0,0
2024,142,SUM,1,5,5,0,0,0,0
2024,150,R,1,6,6,0,0,0,0
2024,150,SUM,1,6,6,0,0,0,0
2024,240,R,1,1,1,0,0,0,0
2024,240,SUM,1,1,1,0,0,0,0
2024,312,R,1,15,15,0,0,0,0
2024,312,SUM,1,15,15,0,0,0,0
2024,313,N,2,6,3,1,1,0,0
2024,313,R,15,31,2,15,10,5,0
2024,313,SUM,17,37,2,16,11,5,0
2024,314,N,3,10,3,3,1,2,0
2024,314,R,26,203,8,16,11,4,0
2024,314,SUM,29,213,8,19,12,6,0
2024,316,N,1,2,2,1,0,1,0
2024,316,R,11,40,4,11,8,3,0
2024,316,SUM,12,42,4,12,8,4,0
2024,320,R,5,49,10,3,3,0,0
2024,320,SUM,5,49,10,3,3,0,0
2024,323,N,3,10,3,2,1,1,0
2024,323,R,34,160,5,30,23,7,0
2024,323,SUM,37,170,5,32,24,8,0
2024,324,R,4,9,2,4,2,2,0
2024,324,SUM,4,9,2,4,2,2,0
2024,325,R,6,27,5,5,4,1,0
2024,325,SUM,6,27,5,5,4,1,0
2024,326,R,4,13,3,3,3,0,0
2024,326,SUM,4,13,3,3,3,0,0
2024,329,N,1,4,4,1,0,1,0
2024,329,R,12,30,3,12,9,3,0
2024,329,SUM,13,34,3,13,9,4,0
2024,330,R,1,1,1,1,1,0,0
2024,330,SUM,1,1,1,1,1,0,0
2024,331,R,3,8,3,3,2,1,0
2024,331,SUM,3,8,3,3,2,1,0
2024,350,R,2,9,5,1,0,1,0
2024,350,SUM,2,9,5,1,0,1,0
2024,361,N,1,2,2,1,1,0,0
2024,361,R,2,14,7,0,0,0,0
2024,361,SUM,3,16,5,1,1,0,0
2024,362,N,1,3,3,0,0,0,0
2024,362,R,5,13,3,5,3,2,0
2024,362,SUM,6,16,3,5,3,2,0
2024,393,N,1,2,2,1,1,0,0
2024,393,R,3,13,4,3,2,1,0
2024,393,SUM,4,15,4,4,3,1,0
2024,415,R,0,0,0,0,0,0,0
2024,415,SUM,0,0,0,0,0,0,0
2024,442,R,1,8,8,1,1,0,0
2024,442,SUM,1,8,8,1,1,0,0
2024,447,R,1,3,3,1,1,0,0
2024,447,SUM,1,3,3,1,1,0,0
2024,453,R,1,2,2,1,1,0,0
2024,453,SUM,1,2,2,1,1,0,0
2024,514,N,1,20,20,1,1,0,0
2024,514,R,1,10,10,0,0,0,0
2024,514,SUM,2,30,15,1,1,0,0
2024,517,R,3,40,13,3,3,0,0
2024,517,SUM,3,40,13,3,3,0,0
2024,518,R,3,35,12,3,2,1,0
2024,518,SUM,3,35,12,3,2,1,0
2024,519,R,1,2,2,0,0,0,0
2024,519,SUM,1,2,2,0,0,0,0
2024,521,R,4,9,3,4,2,2,0
2024,521,SUM,4,9,3,4,2,2,0
2024,Reg_1,R,7,33,6,4,3,1,0
2024,Reg_1,SUM,7,33,6,4,3,1,0
2024,Reg_2,R,1,1,1,0,0,0,0
2024,Reg_2,SUM,1,1,1,0,0,0,0
2024,Reg_3,N,13,39,3,10,5,5,0
2024,Reg_3,R,133,635,5,111,81,30,0
2024,Reg_3,SUM,146,674,5,121,86,35,0
2024,Reg_4,R,3,13,4,3,3,0,0
2024,Reg_4,SUM,3,13,4,3,3,0,0
2024,Reg_5,N,1,20,20,1,1,0,0
2024,Reg_5,R,12,96,9,10,7,3,0
2024,Reg_5,SUM,13,116,10,11,8,3,0
2024,State,N,14,59,4,11,6,5,0
2024,State,R,156,778,5,128,94,34,0
2024,State,SUM,170,837,5,139,100,39,0
