License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Rams,Ewes,Lambs
2024,100,R,3,42,14,3,3,0,0
2024,100,SUM,3,42,14,3,3,0,0
2024,102,R,1,15,15,1,1,0,0
2024,102,SUM,1,15,15,1,1,0,0
2024,121,R,1,37,37,1,1,0,0
2024,121,SUM,1,37,37,1,1,0,0
2024,122,N,1,5,5,1,1,0,0
2024,122,R,1,20,20,1,1,0,0
2024,122,SUM,2,25,13,2,2,0,0
2024,123,R,1,12,12,1,1,0,0
2024,123,SUM,1,12,12,1,1,0,0
2024,124,R,7,53,8,7,5,2,0
2024,124,SUM,7,53,8,7,5,2,0
2024,203,R,3,24,8,3,3,0,0
2024,203,SUM,3,24,8,3,3,0,0
2024,210,R,1,15,15,1,1,0,0
2024,210,SUM,1,15,15,1,1,0,0
2024,214,R,2,33,17,2,2,0,0
2024,214,SUM,2,33,17,2,2,0,0
2024,250,R,1,75,75,1,1,0,0
2024,250,SUM,1,75,75,1,1,0,0
2024,261,N,1,15,15,1,1,0,0
2024,261,R,2,17,9,2,2,0,0
2024,261,SUM,3,32,11,3,3,0,0
2024,270,R,8,53,7,8,5,3,0
2024,270,SUM,8,53,7,8,5,3,0
2024,300,N,11,80,8,1,1,0,0
2024,300,R,47,195,4,2,2,0,0
2024,300,SUM,58,275,5,3,3,0,0
2024,301,R,3,71,24,3,3,0,0
2024,301,SUM,3,71,24,3,3,0,0
2024,302,R,5,92,18,5,3,2,0
2024,302,SUM,5,92,18,5,3,2,0
2024,303,N,10,90,9,0,0,0,0
2024,303,R,47,268,6,2,2,0,0
2024,303,SUM,57,358,6,2,2,0,0
2024,304,R,1,0,0,1,1,0,0
2024,304,SUM,1,0,0,1,1,0,0
2024,305,R,1,10,10,1,1,0,0
2024,305,SUM,1,10,10,1,1,0,0
2024,330,R,1,6,6,1,1,0,0
2024,330,SUM,1,6,6,1,1,0,0
2024,340,R,1,0,0,1,1,0,0
2024,340,SUM,1,0,0,1,1,0,0
2024,380,R,1,15,15,1,1,0,0
2024,380,SUM,1,15,15,1,1,0,0
2024,381,R,1,20,20,1,1,0,0
2024,381,SUM,1,20,20,1,1,0,0
2024,421,R,1,21,21,1,1,0,0
2024,421,SUM,1,21,21,1,1,0,0
2024,422,R,3,20,7,3,3,0,0
2024,422,SUM,3,20,7,3,3,0,0
2024,423,R,2,8,4,1,1,0,0
2024,423,SUM,2,8,4,1,1,0,0
2024,424,N,1,3,3,1,1,0,0
2024,424,R,1,1,1,1,1,0,0
2024,424,SUM,2,4,2,2,2,0,0
2024,441,N,1,1,1,1,1,0,0
2024,441,SUM,1,1,1,1,1,0,0
2024,455,R,2,21,11,2,2,0,0
2024,455,SUM,2,21,11,2,2,0,0
2024,482,R,8,43,5,8,4,4,0
2024,482,SUM,8,43,5,8,4,4,0
2024,500,N,31,138,5,1,1,0,0
2024,500,R,34,130,4,1,1,0,0
2024,500,SUM,65,268,4,2,2,0,0
2024,501,N,23,237,11,2,2,0,0
2024,501,R,54,428,8,2,2,0,0
2024,501,SUM,77,666,9,4,4,0,0
2024,502,N,11,82,8,1,1,0,0
2024,502,R,63,384,6,3,3,0,0
2024,502,SUM,74,466,7,4,4,0,0
2024,503,R,2,4,2,2,2,0,0
2024,503,SUM,2,4,2,2,2,0,0
2024,620,R,3,24,8,3,3,0,0
2024,620,SUM,3,24,8,3,3,0,0
2024,622,N,1,2,2,1,1,0,0
2024,622,R,8,36,5,5,4,1,0
2024,622,SUM,9,38,5,6,5,1,0
2024,680,N,3,25,8,1,1,0,0
2024,680,R,35,181,6,25,10,15,0
2024,680,SUM,38,206,6,26,11,15,0
2024,Reg_1,N,1,5,5,1,1,0,0
2024,Reg_1,R,14,179,13,14,12,2,0
2024,Reg_1,SUM,15,184,12,15,13,2,0
2024,Reg_2,N,1,15,15,1,1,0,0
2024,Reg_2,R,17,217,13,17,14,3,0
2024,Reg_2,SUM,18,232,13,18,15,3,0
2024,Reg_3,N,20,170,8,1,1,0,0
2024,Reg_3,R,109,677,7,18,16,2,0
2024,Reg_3,SUM,129,847,7,19,17,2,0
2024,Reg_4,N,2,4,2,2,2,0,0
2024,Reg_4,R,17,114,7,16,12,4,0
2024,Reg_4,SUM,19,118,6,18,14,4,0
2024,Reg_5,N,65,458,7,4,4,0,0
2024,Reg_5,R,153,946,6,8,8,0,0
2024,Reg_5,SUM,218,1404,7,12,12,0,0
2024,Reg_6,N,4,27,7,2,2,0,0
2024,Reg_6,R,46,241,6,34,17,17,0
2024,Reg_6,SUM,50,268,6,36,19,17,0
2024,State,N,93,679,7,11,11,0,0
2024,State,R,355,2375,7,107,79,28,0
2024,State,SUM,449,3054,7,118,90,28,0
