hunt_code,open_date,close_date,bag_limit_description,notes
112,2026-11-01,2026-11-30,One buck with visible antler,Page 36
119A,2026-09-12,2026-09-20,One buck with visible antler,Page 36
122,2026-11-14,2026-12-06,One buck with visible antler,Page 36
123A,2026-10-03,2026-10-14,"One white-tailed or black-tailed buck with
visible antler",Page 36
123B,2026-12-26,2027-01-01,"One white-tailed buck with visible antler or
one black-tailed deer",Page 37
130R,2026-08-01,2026-08-15,One buck with visible antler,Page 40
114M,2026-11-07,2026-11-20,,Page 42
119M,2026-11-14,2026-11-25,,Page 42
121M,2026-11-14,2026-11-25,,Page 42
125M,2026-11-14,2026-11-27,,Page 42
127M,2026-11-14,2026-12-06,One buck with visible antler,Page 42
128M,2026-11-14,2026-12-06,,Page 42
610,2026-10-03,2026-11-06,One antlerless deer,Page 44
611,2026-10-03,2026-11-06,One antlerless deer,Page 44
612,2026-10-03,2026-11-06,One antlerless deer,Page 44
614,2026-10-03,2026-11-06,One antlerless deer,Page 44
615,2026-09-01,2027-02-28,,Page 44
617,2026-10-03,2026-11-06,One antlerless deer,Page 44
618,2026-10-03,2026-11-06,One antlerless deer,Page 44
619,2026-10-03,2026-11-06,One antlerless deer,Page 44
620,2026-10-03,2026-11-06,One antlerless deer,Page 44
620A,2026-10-03,2026-11-06,One antlerless deer,Page 44
621,2026-10-03,2026-11-06,One antlerless deer,Page 44
622A,2026-10-03,2026-11-06,One antlerless deer,Page 44
623,2026-10-03,2026-11-06,One antlerless deer,Page 44
623A,2026-10-03,2026-11-06,One antlerless deer,Page 44
624,2026-10-03,2026-11-06,One antlerless deer,Page 44
625,2026-10-03,2026-11-06,One antlerless deer,Page 44
626,2026-10-03,2026-11-06,One antlerless deer,Page 44
627,2026-10-03,2026-11-06,One antlerless deer,Page 44
628,2026-10-03,2026-11-06,One antlerless deer,Page 44
629,2026-10-03,2026-11-06,One antlerless deer,Page 44
610T,2026-10-03,2026-11-08,One antlerless deer,Page 45
611T,2026-10-03,2026-11-08,One antlerless deer,Page 45
612T,2026-10-03,2026-11-08,One antlerless deer,Page 45
614T,2026-10-03,2026-11-08,One antlerless deer,Page 45
617T,2026-10-03,2026-11-08,One antlerless deer,Page 45
618T,2026-10-03,2026-11-08,One antlerless deer,Page 45
619T,2026-11-14,2026-11-25,,Page 45
621T,2026-11-14,2026-11-25,,Page 45
625T,2026-12-15,2027-01-05,One antlerless deer,Page 45
627T,2026-12-15,2027-01-05,,Page 45
628T,2026-12-15,2027-01-05,,Page 45
629T,2026-12-15,2027-01-05,,Page 45
630T,2026-12-15,2027-01-05,,Page 45
210,2026-12-01,2027-03-31,One antlerless elk,Page 51
210D,2026-12-01,2027-03-31,One antlerless elk,Page 51
210X,2026-11-14,2026-11-17,One 3 pt+ bull elk,Page 51
210Y,2026-11-21,2026-11-27,One 3 pt+ bull elk,Page 51
211,2027-01-01,2027-03-31,One antlerless elk,Page 51
211A,2026-12-01,2027-03-31,One antlerless elk,Page 51
211B,2027-01-01,2027-03-31,One antlerless elk,Page 51
211C,2027-01-01,2027-03-31,One antlerless elk,Page 51
212,2026-12-01,2027-03-31,One antlerless elk,Page 51
212B,2026-12-15,2027-03-31,One antlerless elk,Page 51
214,2026-12-01,2027-03-31,One antlerless elk,Page 51
214C,2026-12-01,2027-03-31,One antlerless elk,Page 51
214E,2027-01-01,2027-03-31,One antlerless elk,Page 51
215A,2026-08-29,2026-10-31,"One elk
(Spike or antlerless elk from
Aug. 29 - Oct. 31 in Monroe
Subunit) See William L. Finley
NWR pg. 90",Page 51
215A,2026-08-01,2027-03-31,"One elk
(Spike or antlerless elk from
Aug. 29 - Oct. 31 in Monroe
Subunit) See William L. Finley
NWR pg. 90",Page 51
216B,2026-12-01,2027-03-31,One antlerless elk,Page 51
216D,2026-12-01,2027-03-31,One antlerless elk,Page 51
217A,2027-01-01,2027-03-31,One antlerless elk,Page 51
217B,2027-01-01,2027-03-31,ne antlerless elk,Page 52
218A,2027-01-01,2027-03-31,ne antlerless elk,Page 52
