hunt_code,open_date,close_date,bag_limit_description,notes,load_status
General-season units,2026-08-15,2026-09-11,,Page 8,DO_NOT_LOAD
"• Nine Mile, Green River Valley
• Sanpete Valley
• South Wasatch",2026-09-12,2026-10-15,,Page 9,DO_NOT_LOAD
"• Uinta Basin
• Wasatch Front",2026-08-15,2026-12-15,,Page 9,DO_NOT_LOAD
PB1000,2026-09-01,2026-11-15,Buck pronghorn,Page 10,DO_NOT_LOAD
DS1000,2026-09-01,2026-12-31,,Page 10,DO_NOT_LOAD
Archery,2026-08-15,2026-09-16,Any bull*,Page 39,DO_NOT_LOAD
Muzzleloader,2026-10-28,2026-11-05,Any bull and spike only,Page 39,DO_NOT_LOAD
"Beaver, East",2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Boulder/Kaiparowits,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Cache,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Chalk Creek,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Fillmore,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Kamas,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Manti/San Rafael,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Morgan-South Rich,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Nebo,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
North Slope,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Oquirrh/Tintic,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Pine Valley,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
Southwest Desert,2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
"Wasatch Mtns, East",2026-08-15,2026-09-11,,Page 43,DO_NOT_LOAD
"West Desert, Swasey",2026-08-15,2026-09-11,,Page 44,DO_NOT_LOAD
Zion,2026-08-15,2026-09-11,,Page 44,DO_NOT_LOAD
Box Elder,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
East Canyon,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
Fishlake,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
Morgan-South Rich,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
North Slope,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
Pine Valley,2026-10-07,2026-10-11,,Page 44,DO_NOT_LOAD
"Beaver, East",2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Box Elder,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Cedar/Stansbury,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Chalk Creek,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
East Canyon,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Fillmore,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Fishlake,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Kamas,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
La Sal Mtns,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Manti/San Rafael,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Monroe,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Morgan-South Rich,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Mt Dutton,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Nebo,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Nine Mile,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
North Slope,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Ogden*,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Oquirrh/Tintic,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Panguitch Lake,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Pine Valley,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
"San Juan, Abajo Mtns",2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Southwest Desert,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Vernal/Bonanza,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
"Wasatch Mtns, East",2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
"Wasatch Mtns, West",2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
"West Desert, Swasey",2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Yellowstone,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
Zion,2026-10-17,2026-10-25,,Page 45,DO_NOT_LOAD
"Beaver, West",2026-10-17,2026-10-25,,Page 46,DO_NOT_LOAD
Cache,2026-10-17,2026-10-25,,Page 46,DO_NOT_LOAD
"Beaver, East",2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Cedar/Stansbury,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
East Canyon,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Fishlake,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
La Sal Mtns,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Monroe,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Mt Dutton,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Nine Mile,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Ogden,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Panguitch Lake,2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
"San Juan, Abajo Mtns",2026-09-23,2026-10-01,,Page 46,DO_NOT_LOAD
Vernal/Bonanza,2026-09-23,2026-10-01,,Page 47,DO_NOT_LOAD
"Wasatch Mtns, West",2026-09-23,2026-10-01,,Page 47,DO_NOT_LOAD
Yellowstone,2026-09-23,2026-10-01,,Page 47,DO_NOT_LOAD
"Beaver, West",2026-09-23,2026-10-01,,Page 47,DO_NOT_LOAD
Cache,2026-09-23,2026-10-01,,Page 47,DO_NOT_LOAD
Henry Mtns,2026-08-15,2026-09-11,,Page 49,DO_NOT_LOAD
Antelope Island,2026-11-11,2026-11-18,,Page 49,DO_NOT_LOAD
Paunsaugunt,2026-10-17,2026-10-31,,Page 49,DO_NOT_LOAD
Henry Mtns,2026-09-23,2026-10-01,,Page 49,DO_NOT_LOAD
Paunsaugunt (archery),2026-08-15,2026-09-11,,Page 50,DO_NOT_LOAD
Paunsaugunt (any legal weapon),2026-11-02,2026-11-20,,Page 50,DO_NOT_LOAD
Paunsaugunt,2026-11-02,2026-11-20,,Page 50,DO_NOT_LOAD
Book Cliffs,2026-08-15,2026-09-11,,Page 50,DO_NOT_LOAD
Dolores Triangle,2026-10-31,2026-11-13,,Page 50,DO_NOT_LOAD
"San Juan, Elk Ridge",2026-08-15,2026-09-11,,Page 50,DO_NOT_LOAD
Thousand Lakes,2026-08-15,2026-09-11,,Page 50,DO_NOT_LOAD
"Book Cliffs, North",2026-10-17,2026-10-25,,Page 51,DO_NOT_LOAD
Castle Valley*,2026-11-07,2026-11-22,,Page 51,DO_NOT_LOAD
Dolores Triangle,2026-11-14,2026-11-22,,Page 51,DO_NOT_LOAD
Little Rockies,2026-11-07,2026-11-30,,Page 51,DO_NOT_LOAD
"San Juan, Elk Ridge",2026-10-17,2026-10-25,,Page 51,DO_NOT_LOAD
Thousand Lakes,2026-10-17,2026-10-25,,Page 51,DO_NOT_LOAD
Book Cliffs,2026-09-23,2026-10-01,,Page 51,DO_NOT_LOAD
Diamond Mtn,2026-09-23,2026-10-01,,Page 51,DO_NOT_LOAD
"Fillmore, Oak Creek LE",2026-09-23,2026-10-01,,Page 51,DO_NOT_LOAD
"West Desert, Vernon",2026-09-23,2026-10-01,,Page 51,DO_NOT_LOAD
Thousand Lakes,2026-09-23,2026-10-01,,Page 51,DO_NOT_LOAD
"Beaver, East",2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Boulder/Kaiparowits,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Cache,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Chalk Creek,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Fillmore,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Kamas,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Manti/San Rafael,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Morgan-South Rich,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Nebo,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
North Slope,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Oquirrh/Tintic,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Pine Valley,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
Southwest Desert,2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
"Wasatch Mtns, East",2026-10-28,2026-11-05,,Page 52,DO_NOT_LOAD
"West Desert, Swasey",2026-10-28,2026-11-05,,Page 53,DO_NOT_LOAD
Zion,2026-10-28,2026-11-05,,Page 53,DO_NOT_LOAD
"Book Cliffs, Floy Canyon",2026-11-07,2026-11-30,,Page 53,DO_NOT_LOAD
Kaiparowits HAMSS,2026-11-07,2026-11-30,,Page 53,DO_NOT_LOAD
Draw-only youth any bull/hunter’s choice elk*,2026-09-12,2026-09-22,Draw-only youth any bull/hunter’s choice elk*,Page 54,DO_NOT_LOAD
"Beaver, East",2026-08-15,2026-09-15,,Page 54,DO_NOT_LOAD
