hunt_code,open_date,close_date,bag_limit_description,notes
Deer,2026-10-25,2026-12-31,,Page 18
"Rocky Mountain
Bighorn Sheep",2026-09-01,2026-12-31,,Page 18
Three-deer,2026-09-01,2026-12-31,,Page 18
"Northeast
Washington Big
Game",2026-09-01,2026-12-31,,Page 18
"Northeast
Washington Big
Game",2026-08-01,2026-11-15,,Page 18
"Northeast
Washington Big
Game",2026-09-01,2027-03-31,,Page 18
"Northeast
Washington Big
Game",2027-04-15,2027-05-31,,Page 18
"South-central
Washington Big
Game",2026-09-01,2026-12-31,,Page 18
Black-tailed Deer,2026-11-26,2026-12-15,,Page 26
White-tailed Deer,2026-11-10,2026-12-15,,Page 26
Black-tailed Deer,2026-09-27,2026-10-05,,Page 27
White-tailed Deer,2026-09-27,2026-10-05,,Page 27
Mule Deer,2026-09-27,2026-10-05,,Page 27
Black-tailed Deer,2026-11-26,2026-12-15,,Page 27
White-tailed Deer,2026-11-26,2026-12-08,,Page 27
Mule Deer,2026-11-25,2026-12-08,,Page 27
1044,2026-10-25,2026-11-09,,Page 29
1082,2026-11-27,2026-12-08,,Page 30
1083,2026-11-27,2026-12-08,,Page 30
1084,2026-11-27,2026-12-08,,Page 30
1087,2026-11-20,2026-12-08,,Page 30
1227,2026-09-28,2026-10-10,,Page 32
1228,2026-09-28,2026-10-10,,Page 32
1231,2026-11-26,2026-12-08,,Page 32
1232,2026-09-27,2026-10-05,,Page 32
1233,2026-09-27,2026-10-05,,Page 32
1234,2026-09-27,2026-10-05,,Page 32
1235,2026-09-27,2026-10-05,,Page 32
1236,2026-09-27,2026-10-05,,Page 32
1237,2026-09-27,2026-10-05,,Page 32
1238,2026-09-27,2026-10-05,,Page 32
1240,2026-09-20,2026-10-10,,Page 32
1241,2026-09-27,2026-10-05,,Page 32
1244,2026-11-30,2026-12-08,,Page 32
1247,2026-11-24,2026-12-02,,Page 32
1324,2026-09-01,2026-12-31,,Page 33
1326,2026-11-20,2026-12-08,,Page 33
1328,2026-11-20,2026-12-08,,Page 33
1332,2026-11-29,2026-12-05,,Page 33
1333,2026-11-29,2026-12-05,,Page 33
1334,2026-11-25,2026-12-08,,Page 33
1335,2026-09-27,2026-10-05,,Page 33
1336,2026-09-27,2026-10-05,,Page 33
1337,2026-09-27,2026-10-05,,Page 33
1338,2026-09-27,2026-10-05,,Page 33
1339,2026-09-27,2026-10-05,,Page 33
1340,2026-09-27,2026-10-05,,Page 33
1341,2026-09-27,2026-10-05,,Page 33
