hunt_code,open_date,close_date,bag_limit_description,notes
1-1,2026-10-15,2026-11-30,Any elk,Regular season; Quota: 100
1-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
1-4,2026-10-15,2026-11-30,Antlerless elk,Regular season; Quota: 75
1-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
2-Gen,2026-10-01,2026-10-20,Any elk,Regular season
2-Gen-ARCH,2026-09-20,2026-09-30,Any elk,Special archery season
2-Gen,2026-10-21,2026-11-15,Antlerless elk,Regular season
2-6,2026-10-01,2026-12-15,Cow or calf,Regular season; Quota: 200
3-Gen,2026-09-15,2026-11-30,Any elk,Regular season
3-Gen-ARCH,2026-09-01,2026-09-14,Any elk,Special archery season
3-Gen,2026-12-01,2027-01-31,Antlerless elk,Regular season
3-8,2026-08-15,2027-01-31,Cow or calf,Regular season; Quota: Unlimited
6-Gen,2026-10-01,2026-10-31,Any elk valid off national forest,Regular season
6-Gen-ARCH,2026-09-01,2026-09-30,Any elk valid off national forest,Special archery season
6-Gen,2026-11-01,2026-12-31,Antlerless elk valid off national forest,Regular season
6-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 50
6-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
6-1,2026-11-01,2027-01-31,Antlerless elk,Regular season
6-4,2026-10-01,2027-01-31,Antlerless elk,Regular season; Quota: 25
6-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
6-8,2026-08-15,2027-01-31,Cow or calf valid off national forest,Regular season; Quota: Unlimited
7-1,2026-10-15,2026-11-20,Any elk,Regular season; Quota: 1500
7-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
7-1,2026-11-21,2026-12-31,Antlerless elk,Regular season
7-2,2026-11-21,2026-12-31,Antlered elk five (5) points or less on either antler; valid in Converse County,Regular season; Quota: 350
7-4,2026-10-15,2026-12-31,Antlerless elk,Regular season; Quota: 800
7-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
7-6,2026-10-15,2026-12-31,Cow or calf,Regular season; Quota: 1000
7-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
7-8,2026-08-15,2026-10-14,Cow or calf valid on private land in Albany and Carbon counties; also valid in all of Platte County; not valid in Converse or Natrona counties,Regular season; Quota: Unlimited
7-8,2026-10-15,2026-12-31,Cow or calf valid off national forest,Regular season
8-1,2026-10-01,2027-01-31,Any elk,Regular season; Quota: 150
8-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
8-8,2026-08-15,2027-01-31,Cow or calf,Regular season; Quota: Unlimited
9-Gen,2026-10-15,2026-10-31,Any elk,Regular season
9-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
9-6,2026-10-01,2026-12-31,Cow or calf,Regular season; Quota: 250
9-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
"9, 10-7",2026-08-15,2027-01-31,Cow or calf valid off national forest,Regular season; Quota: 350
10-Gen,2026-10-15,2026-10-31,Any elk,Regular season
10-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
10-6,2026-10-01,2026-12-31,Cow or calf,Regular season; Quota: 300
10-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
11-1,2026-10-01,2026-11-30,Any elk,Regular season; Quota: 200
11-1-ARCH,2026-09-15,2026-09-30,Any elk,Special archery season
11-1,2026-12-01,2027-01-31,Any elk valid off national forest,Regular season
11-4,2026-10-01,2027-01-31,Antlerless elk,Regular season; Quota: 100
11-4-ARCH,2026-09-15,2026-09-30,Antlerless elk,Special archery season
11-6,2026-08-15,2026-09-30,Cow or calf valid off national forest and off the Wick Wildlife Habitat Management Area,Regular season; Quota: 450
11-6,2026-10-01,2027-01-31,Cow or calf,Regular season
11-9,2026-09-01,2026-09-30,"Any elk, archery only",Regular season; Quota: 75
12-Gen,2026-10-15,2026-10-31,Any elk,Regular season
12-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
12-6,2026-10-01,2026-12-31,Cow or calf,Regular season; Quota: 300
12-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
"12, 13, 15, 110-7",2026-08-15,2027-01-31,Cow or calf valid on private land,Regular season; Quota: 350
13-Gen,2026-10-15,2026-10-31,Any elk,Regular season
13-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
13-6,2026-10-01,2026-12-31,Cow or calf,Regular season; Quota: 150
13-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
15-Gen,2026-10-15,2026-10-31,Any elk,Regular season
15-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
15-6,2026-10-01,2026-12-31,Cow or calf,Regular season; Quota: 200
15-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
16-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 250
16-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
16-1,2026-12-01,2027-01-31,Antlerless elk,Regular season
16-2,2026-11-01,2026-11-30,Any elk,Regular season; Quota: 100
16-2-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
16-2,2026-12-01,2027-01-31,Antlerless elk,Regular season
16-4,2026-09-01,2026-09-30,Antlerless elk valid on private land; also valid on or within one-half (1/2) mile of irrigated land,Regular season; Quota: 300
16-4,2026-10-01,2027-01-31,Antlerless elk valid in the entire area,Regular season
16-4-ARCH,2026-09-01,2026-09-30,Antlerless elk valid in the entire area,Special archery season
16-6,2026-08-15,2026-09-30,Cow or calf valid on private land; also valid on or within one-half (1/2) mile of irrigated land,Regular season; Quota: 300
16-6,2026-10-01,2026-11-30,Cow or calf valid in the entire area,Regular season
16-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid in the entire area,Special archery season
16-7,2026-12-01,2027-01-31,Cow or calf,Regular season; Quota: 200
19-1,2026-10-01,2026-10-14,Any elk,Regular season; Quota: 150
19-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
19-1,2026-12-01,2026-12-14,Any elk,Regular season
19-1,2026-12-15,2027-01-31,Antlerless elk,Regular season
19-2,2026-11-01,2026-11-20,Any elk,Regular season; Quota: 175
19-2-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
19-2,2026-12-01,2026-12-14,Any elk,Regular season
19-2,2026-12-15,2027-01-31,Antlerless elk,Regular season
19-4,2026-10-01,2026-10-14,Antlerless elk,Regular season; Quota: 125
19-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
19-4,2026-11-21,2027-01-31,Antlerless elk,Regular season
19-5,2026-11-01,2027-01-31,Antlerless elk,Regular season; Quota: 125
19-5-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
19-6,2026-10-01,2026-10-14,Cow or calf,Regular season; Quota: 225
19-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
19-6,2026-11-01,2027-01-31,Cow or calf,Regular season
"21-Gen-
Youth
only",2026-10-12,2026-10-13,Any elk; youth only,Regular season
"21-Gen-
Youth
only-ARCH",2026-09-01,2026-09-30,Any elk; youth only,Special archery season
21-Gen,2026-10-15,2026-10-31,Any elk,Regular season
21-Gen-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
21-6,2026-10-15,2026-11-17,Cow or calf,Regular season; Quota: 200
21-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
21-7,2026-08-15,2026-12-31,Cow or calf valid on private land,Regular season; Quota: 25
22-1,2026-10-08,2026-10-31,Any elk,Regular season; Quota: 75
22-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
22-1,2026-11-15,2026-12-15,Any elk; also valid in Area 111,Regular season
22-1,2026-12-16,2026-12-31,Antlerless elk,Regular season
22-6,2026-10-08,2026-10-31,Cow or calf valid in the Muddy Creek drainage,Regular season; Quota: 100
22-6-ARCH,2026-09-01,2026-09-30,Cow or calf valid in the Muddy Creek drainage,Special archery season
22-6,2026-11-01,2026-12-31,Cow or calf valid in the entire area,Regular season
23-1,2026-10-01,2026-10-31,Any elk,Regular season; Quota: 175
23-1-ARCH,2026-09-01,2026-09-30,Any elk,Special archery season
23-1,2026-11-15,2026-12-15,"Any elk; also valid in Area 128 east of Castle Gardens Road (Fremont County Road 507), east of Wyoming Highway 136, east of Ore Road (Fremont County Road 5), and north of Beaver Rim Road (B.L.M. Road 2401)",Regular season
23-4,2026-10-01,2026-10-31,Antlerless elk,Regular season; Quota: 200
23-4-ARCH,2026-09-01,2026-09-30,Antlerless elk,Special archery season
23-4,2026-11-15,2026-12-15,"Antlerless elk; also valid in Area 128 east of Castle Gardens Road (Fremont County Road 507), east of Wyoming Highway 136, east of Ore Road (Fremont County Road 5), and north of Beaver Rim Road (B.L.M. Road 2401)",Regular season
23-6,2026-10-01,2026-10-31,Cow or calf,Regular season; Quota: 200
23-6-ARCH,2026-09-01,2026-09-30,Cow or calf,Special archery season
