draw_id,hunt_code,year,resident_applications,non_resident_applications,outfitter_applications,licenses_total,resident_licenses,non_resident_licenses,outfitter_licenses,resident_results,non_resident_results,outfitter_results
1,ANT-1-101,2025,113,0,0,3,3,0,0,3,0,0
2,ANT-1-102,2025,608,11,0,5,5,0,0,5,0,0
3,ANT-1-104,2025,99,0,0,3,3,0,0,3,0,0
4,ANT-1-105,2025,571,17,55,10,9,0,1,9,0,1
5,ANT-1-106,2025,58,0,4,10,9,0,1,9,0,1
6,ANT-1-107,2025,416,6,34,10,9,0,1,9,0,1
7,ANT-1-109,2025,200,2,1,2,2,0,0,2,0,0
8,ANT-1-110,2025,1208,23,195,10,9,0,1,9,0,1
9,ANT-1-111,2025,97,2,10,10,9,0,1,9,0,1
10,ANT-1-112,2025,582,14,3,5,5,0,0,5,0,0
11,ANT-1-114,2025,295,4,2,5,5,0,0,5,0,0
12,ANT-1-115,2025,1372,42,304,10,9,0,1,9,0,1
13,ANT-1-117,2025,79,0,0,3,3,0,0,3,0,0
14,ANT-1-118,2025,906,20,90,10,9,0,1,9,0,1
15,ANT-1-120,2025,423,1,4,5,5,0,0,5,0,0
16,ANT-1-121,2025,1980,1049,687,15,13,1,1,13,1,1
17,ANT-1-123,2025,87,1,0,3,3,0,0,3,0,0
18,ANT-1-124,2025,1471,1011,402,25,21,2,2,21,2,2
19,ANT-1-126,2025,378,5,1,5,5,0,0,5,0,0
20,ANT-1-127,2025,1524,22,12,5,5,0,0,5,0,0
21,ANT-1-128,2025,727,11,0,5,5,0,0,5,0,0
22,ANT-1-129,2025,99,2,0,3,3,0,0,3,0,0
23,ANT-1-130,2025,908,10,114,10,9,0,1,9,0,1
24,ANT-1-132,2025,1254,546,297,15,13,1,1,13,1,1
25,ANT-1-133,2025,833,362,151,15,13,1,1,13,1,1
26,ANT-1-134,2025,169,1,0,5,5,0,0,5,0,0
27,ANT-1-136,2025,74,0,0,2,2,0,0,2,0,0
28,ANT-1-137,2025,557,10,23,10,9,0,1,9,0,1
29,ANT-1-139,2025,253,4,80,10,9,0,1,9,0,1
30,ANT-1-140,2025,779,11,8,5,5,0,0,5,0,0
31,ANT-1-141,2025,750,12,117,10,9,0,1,9,0,1
32,ANT-1-142,2025,72,0,3,8,7,0,1,7,0,1
33,ANT-1-143,2025,474,142,25,15,13,1,1,13,1,1
34,ANT-1-145,2025,184,0,0,5,5,0,0,5,0,0
35,ANT-1-146,2025,592,13,6,5,5,0,0,5,0,0
36,ANT-1-147,2025,568,12,239,10,9,0,1,9,0,1
37,ANT-1-148,2025,43,0,0,3,3,0,0,3,0,0
38,ANT-1-150,2025,158,0,0,5,5,0,0,5,0,0
39,ANT-1-151,2025,521,12,1,5,5,0,0,5,0,0
40,ANT-1-152,2025,539,8,168,10,9,0,1,9,0,1
41,ANT-1-153,2025,29,0,0,3,3,0,0,3,0,0
42,ANT-1-161,2025,199,1,0,5,5,0,0,5,0,0
43,ANT-1-162,2025,584,14,3,5,5,0,0,5,0,0
44,ANT-1-163,2025,436,7,17,10,9,0,1,9,0,1
45,ANT-1-164,2025,43,0,0,5,5,0,0,5,0,0
46,ANT-1-165,2025,430,128,29,15,13,1,1,13,1,1
47,ANT-1-167,2025,295,1,0,5,5,0,0,5,0,0
48,ANT-1-168,2025,1075,24,236,10,9,0,1,9,0,1
