id,year,hunt_code,success_rate,satisfaction,days_hunted,licenses_sold,source_file
1,2016,DER-1-100,26.0,3.3,3.5,2.0,2016_2017-Deer-Harvest-Report.pdf
2,2016,DER-1-101,61.0,3.4,2.8,40.0,2016_2017-Deer-Harvest-Report.pdf
3,2016,DER-2-103,16.0,3.3,7.8,40.0,2016_2017-Deer-Harvest-Report.pdf
4,2016,DER-2-104,32.0,3.1,7.5,80.0,2016_2017-Deer-Harvest-Report.pdf
5,2016,DER-3-107,37.0,3.1,3.9,3.0,2016_2017-Deer-Harvest-Report.pdf
6,2016,DER-1-102,58.0,4.1,2.4,2222222222.0,2016_2017-Deer-Harvest-Report.pdf
7,2016,DER-2-118,7.0,2.9,4.4,20.0,2016_2017-Deer-Harvest-Report.pdf
8,2016,DER-2-119,45.0,3.6,5.2,50.0,2016_2017-Deer-Harvest-Report.pdf
9,2016,DER-3-122,23.0,3.0,4.3,3.0,2016_2017-Deer-Harvest-Report.pdf
10,2016,DER-3-123,21.0,2.9,3.3,3.0,2016_2017-Deer-Harvest-Report.pdf
11,2016,DER-1-113,33.0,3.6,3.4,10.0,2016_2017-Deer-Harvest-Report.pdf
12,2016,DER-2-127,36.0,3.8,5.8,50.0,2016_2017-Deer-Harvest-Report.pdf
13,2016,DER-3-129,45.0,3.3,5.0,3.0,2016_2017-Deer-Harvest-Report.pdf
14,2016,DER-1-134,50.0,4.7,1.3,6.0,2016_2017-Deer-Harvest-Report.pdf
15,2016,DER-1-135,45.0,3.3,3.3,444444444.0,2016_2017-Deer-Harvest-Report.pdf
16,2016,DER-3-148,46.0,3.7,3.5,99.0,2016_2017-Deer-Harvest-Report.pdf
17,2016,DER-2-150,44.0,2.4,6.1,10.0,2016_2017-Deer-Harvest-Report.pdf
18,2016,DER-3-151,60.0,3.1,3.6,3.0,2016_2017-Deer-Harvest-Report.pdf
19,2016,DER-1-154,11.0,2.7,3.0,10.0,2016_2017-Deer-Harvest-Report.pdf
20,2016,DER-3-157,20.0,3.8,4.3,3.0,2016_2017-Deer-Harvest-Report.pdf
21,2016,DER-1-161,40.0,3.4,4.4,11.0,2016_2017-Deer-Harvest-Report.pdf
22,2016,DER-1-162,33.0,2.3,3.2,20.0,2016_2017-Deer-Harvest-Report.pdf
23,2016,DER-2-163,16.0,3.1,10.2,120.0,2016_2017-Deer-Harvest-Report.pdf
24,2016,DER-3-164,32.0,3.1,3.7,0.0,2016_2017-Deer-Harvest-Report.pdf
25,2016,DER-1-158,61.0,3.3,3.6,11111111111111.0,2016_2017-Deer-Harvest-Report.pdf
26,2016,DER-1-159,25.0,3.3,3.8,2.0,2016_2017-Deer-Harvest-Report.pdf
27,2016,DER-2-166,6.0,2.1,8.0,25.0,2016_2017-Deer-Harvest-Report.pdf
28,2016,DER-3-167,7.0,2.7,4.2,3.0,2016_2017-Deer-Harvest-Report.pdf
29,2016,DER-1-170,36.0,3.5,4.0,11.0,2016_2017-Deer-Harvest-Report.pdf
30,2016,DER-2-171,14.0,3.3,7.5,200.0,2016_2017-Deer-Harvest-Report.pdf
31,2016,DER-3-172,22.0,3.0,3.4,2.0,2016_2017-Deer-Harvest-Report.pdf
32,2016,DER-1-168,20.0,3.3,3.0,11111111111.0,2016_2017-Deer-Harvest-Report.pdf
33,2016,DER-2-174,75.0,4.0,5.9,30.0,2016_2017-Deer-Harvest-Report.pdf
34,2016,DER-3-175,51.0,3.7,4.3,3.0,2016_2017-Deer-Harvest-Report.pdf
35,2016,DER-3-177,25.0,3.1,3.6,2.0,2016_2017-Deer-Harvest-Report.pdf
36,2016,DER-3-178,24.0,3.0,3.7,555555.0,2016_2017-Deer-Harvest-Report.pdf
37,2016,DER-2-183,18.0,3.3,6.5,6666666666.0,2016_2017-Deer-Harvest-Report.pdf
38,2016,DER-3-184,27.0,3.4,3.6,1111111111.0,2016_2017-Deer-Harvest-Report.pdf
39,2016,DER-2-189,37.0,3.9,6.3,73.0,2016_2017-Deer-Harvest-Report.pdf
40,2016,DER-3-190,52.0,3.6,3.1,2.0,2016_2017-Deer-Harvest-Report.pdf
41,2016,DER-1-185,42.0,3.6,3.2,1111111111111.0,2016_2017-Deer-Harvest-Report.pdf
42,2016,DER-1-186,75.0,3.9,2.8,23.0,2016_2017-Deer-Harvest-Report.pdf
43,2016,DER-1-191,28.0,2.8,3.3,70.0,2016_2017-Deer-Harvest-Report.pdf
44,2016,DER-3-194,30.0,3.0,3.4,88888888.0,2016_2017-Deer-Harvest-Report.pdf
45,2016,DER-1-197,25.0,3.2,3.4,90.0,2016_2017-Deer-Harvest-Report.pdf
46,2016,DER-3-200,16.0,2.9,3.2,0.0,2016_2017-Deer-Harvest-Report.pdf
47,2016,DER-1-203,48.0,3.4,3.3,11.0,2016_2017-Deer-Harvest-Report.pdf
48,2016,DER-2-204,16.0,3.1,6.4,500.0,2016_2017-Deer-Harvest-Report.pdf
49,2016,DER-3-205,16.0,3.0,3.5,2.0,2016_2017-Deer-Harvest-Report.pdf
50,2016,DER-1-201,39.0,3.8,3.4,22222222222.0,2016_2017-Deer-Harvest-Report.pdf
51,2016,DER-1-208,12.0,3.4,3.9,11.0,2016_2017-Deer-Harvest-Report.pdf
52,2016,DER-2-209,16.0,3.2,6.0,50.0,2016_2017-Deer-Harvest-Report.pdf
53,2016,DER-3-210,27.0,3.0,3.9,222222222.0,2016_2017-Deer-Harvest-Report.pdf
54,2016,DER-2-221,20.0,3.2,7.5,256.0,2016_2017-Deer-Harvest-Report.pdf
55,2016,DER-2-222,16.0,3.0,6.3,150.0,2016_2017-Deer-Harvest-Report.pdf
56,2016,DER-2-223,38.0,3.8,5.8,50.0,2016_2017-Deer-Harvest-Report.pdf
57,2016,DER-2-224,6.0,3.3,6.3,50.0,2016_2017-Deer-Harvest-Report.pdf
58,2016,DER-3-225,21.0,3.0,3.5,2.0,2016_2017-Deer-Harvest-Report.pdf
