hunt_id,hunt_code,unit_description,licenses,bag,species
1,ANT-1-101,"Units 2, 7, 9, 10: youth only",3,ES,Pronghorn
2,ANT-1-102,"Units 2, 7, 9, 10",5,MB,Pronghorn
3,ANT-1-104,Unit 12: youth only,3,ES,Pronghorn
4,ANT-1-105,Unit 12,10,MB,Pronghorn
5,ANT-1-106,Unit 12: mobility impaired only,10,MB,Pronghorn
6,ANT-1-107,Unit 12,10,MB,Pronghorn
7,ANT-1-109,Unit 13: youth only,2,ES,Pronghorn
8,ANT-1-110,Unit 13,10,MB,Pronghorn
9,ANT-1-111,Unit 13: mobility impaired only,10,MB,Pronghorn
10,ANT-1-112,Unit 13,5,MB,Pronghorn
11,ANT-1-114,Unit 15: youth only,5,ES,Pronghorn
12,ANT-1-115,Unit 15,10,MB,Pronghorn
13,ANT-1-117,Unit 15: mobility impaired only,3,MB,Pronghorn
14,ANT-1-118,Unit 15,10,MB,Pronghorn
15,ANT-1-120,Unit 16: youth only,5,ES,Pronghorn
16,ANT-1-121,Unit 16,15,MB,Pronghorn
17,ANT-1-123,Unit 16: mobility impaired only,3,MB,Pronghorn
18,ANT-1-124,Unit 16,25,MB,Pronghorn
19,ANT-1-126,Unit 17: youth only,5,ES,Pronghorn
20,ANT-1-127,Unit 17,5,MB,Pronghorn
21,ANT-1-128,Unit 17,5,MB,Pronghorn
22,ANT-1-129,Unit 17: mobility impaired only,3,MB,Pronghorn
23,ANT-1-130,Unit 17,10,MB,Pronghorn
24,ANT-1-132,Unit 18,15,MB,Pronghorn
25,ANT-1-133,Unit 18,15,MB,Pronghorn
26,ANT-1-134,"Unit 19: WSMR only, youth only",5,ES,Pronghorn
27,ANT-1-136,Unit 20: youth only,2,ES,Pronghorn
28,ANT-1-137,Unit 20,10,MB,Pronghorn
29,ANT-1-139,"Units 21, 24: youth only",10,ES,Pronghorn
30,ANT-1-140,"Units 21, 24",5,MB,Pronghorn
31,ANT-1-141,"Units 21, 24",10,MB,Pronghorn
32,ANT-1-142,"Units 21, 24: mobility impaired only",8,MB,Pronghorn
33,ANT-1-143,"Units 21, 24",15,MB,Pronghorn
34,ANT-1-145,"Units 22, 23: youth only",5,ES,Pronghorn
35,ANT-1-146,"Units 22, 23",5,MB,Pronghorn
36,ANT-1-147,"Units 22, 23",10,MB,Pronghorn
37,ANT-1-148,"Units 22, 23: mobility impaired only",3,MB,Pronghorn
38,ANT-1-150,"Units 25, 26, 27: youth only",5,ES,Pronghorn
39,ANT-1-151,"Units 25, 26, 27",5,MB,Pronghorn
40,ANT-1-152,"Units 25, 26, 27",10,MB,Pronghorn
41,ANT-1-153,"Units 25, 26, 27: mobility impaired only",3,MB,Pronghorn
42,ANT-1-161,Unit 31 north of US 380: youth only,5,ES,Pronghorn
43,ANT-1-162,Unit 31 north of US 380,5,MB,Pronghorn
44,ANT-1-163,Unit 31 north of US 380,10,MB,Pronghorn
45,ANT-1-164,Unit 31 north of US 380: mobility impaired only,5,MB,Pronghorn
46,ANT-1-165,Unit 31 north of US 380,15,MB,Pronghorn
47,ANT-1-167,Unit 31 south of US 380: youth only,5,ES,Pronghorn
48,ANT-1-168,Unit 31 south of US 380,10,MB,Pronghorn
49,ANT-1-169,Unit 31 south of US 380,10,MB,Pronghorn
50,ANT-1-170,Unit 31 south of US 380: mobility impaired only,5,MB,Pronghorn
51,ANT-1-171,Unit 31 south of US 380,20,MB,Pronghorn
52,ANT-1-173,Unit 32 east of Pecos River: youth only,5,ES,Pronghorn
53,ANT-1-174,Unit 32 east of Pecos River,10,MB,Pronghorn
54,ANT-1-175,Unit 32 east of Pecos River,5,MB,Pronghorn
55,ANT-1-176,Unit 32 east of Pecos River: mobility impaired only,5,MB,Pronghorn
56,ANT-1-177,Unit 32 east of Pecos River,15,MB,Pronghorn
57,ANT-1-179,Unit 32 west of Pecos River,15,MB,Pronghorn
58,ANT-1-180,Unit 32 west of Pecos River,10,MB,Pronghorn
59,ANT-1-181,Unit 32 west of Pecos River: mobility impaired only,5,MB,Pronghorn
60,ANT-1-182,Unit 32 west of Pecos River,15,MB,Pronghorn
61,ANT-1-183,Unit 32 (Roswell Hunt Area only),15,F-IM,Pronghorn
62,ANT-1-185,Unit 33: youth only,5,ES,Pronghorn
63,ANT-1-186,Unit 33,25,MB,Pronghorn
64,ANT-1-187,Unit 33,20,MB,Pronghorn
65,ANT-1-188,Unit 33: mobility impaired only,5,MB,Pronghorn
66,ANT-1-189,Unit 33,25,MB,Pronghorn
67,ANT-1-191,"Units 36, 37: youth only",5,ES,Pronghorn
68,ANT-1-192,"Units 36, 37",10,MB,Pronghorn
69,ANT-1-193,"Units 36, 37",10,MB,Pronghorn
70,ANT-1-194,"Units 36, 37: mobility impaired only",5,MB,Pronghorn
71,ANT-1-195,"Units 36, 37",15,MB,Pronghorn
72,ANT-1-197,Unit 38: youth only,10,ES,Pronghorn
73,ANT-1-198,Unit 38,15,MB,Pronghorn
74,ANT-1-199,Unit 38,20,MB,Pronghorn
75,ANT-1-200,Unit 38: mobility impaired only,10,MB,Pronghorn
76,ANT-1-201,Unit 38,30,MB,Pronghorn
77,ANT-1-203,Unit 39: youth only,5,ES,Pronghorn
78,ANT-1-204,Unit 39,10,MB,Pronghorn
79,ANT-1-205,Unit 39,10,MB,Pronghorn
80,ANT-1-206,Unit 39: mobility impaired only,5,MB,Pronghorn
81,ANT-1-207,Unit 39,10,MB,Pronghorn
82,ANT-1-209,Unit 40,10,MB,Pronghorn
83,ANT-1-210,Unit 40: mobility impaired only,5,MB,Pronghorn
84,ANT-1-211,Unit 40,10,MB,Pronghorn
85,ANT-1-213,Unit 41: youth only,4,ES,Pronghorn
86,ANT-1-214,Unit 41,24,MB,Pronghorn
87,ANT-1-215,Unit 41,24,MB,Pronghorn
88,ANT-1-216,Unit 41: mobility impaired only,4,MB,Pronghorn
89,ANT-1-217,Unit 41,28,MB,Pronghorn
90,ANT-1-220,Unit 42: youth only,8,ES,Pronghorn
91,ANT-1-221,Unit 42,8,MB,Pronghorn
92,ANT-1-222,Unit 42,8,MB,Pronghorn
93,ANT-1-224,"Units 8, 43",10,MB,Pronghorn
94,ANT-1-226,Unit 47: youth only,4,ES,Pronghorn
95,ANT-1-227,Unit 47,20,MB,Pronghorn
96,ANT-1-228,Unit 47,24,MB,Pronghorn
97,ANT-1-229,Unit 47: mobility impaired only,4,MB,Pronghorn
98,ANT-1-230,Unit 47,28,MB,Pronghorn
99,ANT-1-234,"Units 50, 52",20,MB,Pronghorn
100,ANT-1-237,Unit 56: youth only,40,ES,Pronghorn
101,ANT-1-238,Unit 56,4,MB,Pronghorn
102,ANT-1-239,Unit 56,36,MB,Pronghorn
103,ANT-1-240,Unit 56: mobility impaired only,4,MB,Pronghorn
104,ANT-1-241,Unit 56,40,MB,Pronghorn
105,ANT-1-244,Unit 57: youth only,4,ES,Pronghorn
106,ANT-1-245,Unit 57,4,MB,Pronghorn
107,ANT-1-248,Unit 58: youth only,16,ES,Pronghorn
108,ANT-1-249,Unit 58,24,MB,Pronghorn
109,ANT-1-250,Unit 58,24,MB,Pronghorn
110,ANT-1-251,Unit 58: mobility impaired only,4,MB,Pronghorn
111,ANT-1-252,Unit 58,32,MB,Pronghorn
112,ANT-1-255,Unit 59: youth only,36,ES,Pronghorn
113,ANT-1-256,Unit 59,4,MB,Pronghorn
114,ANT-1-257,Unit 59,32,MB,Pronghorn
